"HURSTPIERPOINT ST JOHNS COLLEGE",,,,,,,,,,,,
Grid ref,TQ290176,Long,-0.165191,Lat,50.943417,,,,,,,
Station no,RR1802,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.02,,,,,,,,,,
February,5.50,2.18,,,,,,,,,,
March,0.98,1.55,,,,,,,,,,
April,1.14,2.25,,,,,,,,,,
May,0.60,1.18,,,,,,,,,,
June,2.56,1.41,,,,,,,,,,
July,0.79,2.53,,,,,,,,,,
August,2.26,1.85,,,,,,,,,,
September,0.94,1.91,,,,,,,,,,
October,2.42,2.83,,,,,,,,,,
November,3.40,0.58,,,,,,,,,,
December,3.83,5.23,,,,,,,,,,
Total,,24.52,,,,,,,,,,
Calc annual,24.42,24.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
