HURSTPIERPOINT-THE-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ290176,Long,-0.165191,Lat,50.943417,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.34,2.19,3.44,1.51,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.24,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.25,0.61,0.95,0.92,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.61,5.5,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.15,3.46,0.81,3.34,1.31,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,4.73,0.83,0.76,0.98,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.35,1.48,0.6,0.81,0.38,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,2.18,1.1,2.18,1.14,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.96,1.24,3.23,2.18,1.34,3.05,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,3.33,0.91,0.6,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,-999,1.73,4.8,1.03,0.87,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,2.21,1.38,1.8,2.56,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,-999,1.07,0.78,0.42,3.48,,,,,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,0.18,0.32,1.35,0.79,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,4.6,0.84,1.99,2.52,1.8,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.24,0.59,2.26,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.22,3.65,2,3.41,3.24,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,0.85,3.31,0.94,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.31,1.51,6.71,3.43,2.58,10.59,,,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,,,0.39,3.29,1.67,2.42,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
