STRATHNAIRN (BRIN HOUSE),,,,,,,,,,,,
Grid ref,NH667298,Long,-4.216310,Lat,57.339165,,,,,,,
Station no,5701/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.57,3.02,1.10,2.84,4.80,3.75,3.50,4.94,,
February,,,2.98,0.74,0.22,3.42,3.67,2.95,0.91,4.57,,
March,,,1.16,2.61,6.15,2.97,4.01,1.90,1.50,0.66,,
April,,,4.03,1.66,0.71,2.11,1.22,1.88,3.73,1.82,,
May,,,2.80,4.73,3.71,2.96,1.27,3.00,0.48,0.81,,
June,,,4.07,3.37,0.29,4.41,2.30,2.00,3.27,4.67,,
July,,,3.75,3.24,1.02,7.55,5.54,5.39,3.57,2.49,,
August,,,3.45,2.07,0.70,8.65,7.11,6.02,1.99,9.25,,
September,,,1.79,2.81,4.74,3.19,1.95,3.86,1.01,2.80,,
October,,,1.17,5.16,7.04,5.32,2.90,3.45,4.39,3.15,,
November,,,3.39,2.65,0.97,2.47,2.61,0.99,4.12,1.95,,
December,,,3.23,5.22,5.49,4.82,4.44,4.02,4.02,3.62,,
Total,,,33.39,37.28,32.14,50.71,41.82,39.21,32.49,40.73,,
Calc annual,0.00,0.00,33.39,37.28,32.14,50.71,41.82,39.21,32.49,40.73,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
