ROCKCORRY,,,,,,,,,,,,,,,,,,,,
Grid ref,IH6442319159,Long,-7.0154382,Lat,54.117606,Elevation,290,ft,,,,,,,,,,,,
Station no,RR2723,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.99,1.65,6.47,3.9,2.18,1.08,0.45,2.46,5.26,5.08,1.88,3.32,2.43,1.99,
February,,,,,,1.54,4.48,3.11,2.03,1.83,2.78,4.28,2.29,2.84,2.99,3.55,2.25,1.36,0.05,
March,,,,,,1.23,3.87,2.74,1.67,2.27,2.11,2.88,3.8,1.12,1.77,1.07,2.76,1.12,3.63,
April,,,,,,0.34,2.18,2.25,1.6,1.19,4.22,2.27,4.07,1.54,1.44,3.55,1.92,1.41,2.14,
May,,,,,,2.13,0.59,2.58,4.5,2.87,0.89,2.82,3.3,1.48,2.73,1.57,3.47,1.55,2.35,
June,,,,,,4,1.41,3.32,6.8,5.78,2.57,4.56,4.7,2.3,1.49,1.07,1.76,0.19,3.77,
July,,,,,,2.6,2,3.55,0.92,5.32,5.39,1.76,5.71,3.62,2.79,2.24,3.76,2.46,3.54,
August,,,,,,3.71,3.42,2.76,3.82,3.36,1.09,3.82,3.86,3.35,1.54,1.65,2.33,2.52,4.16,
September,,,,,,4.64,4.15,2,4.29,5.01,3.03,2.43,2.82,3.74,2.6,5.53,4.22,2.18,,
October,,,,,,5.83,3.67,4.34,3,2.11,0.59,3.41,2.72,3.41,2.94,3.47,4.68,1.62,,
November,,,,,,5.03,2.81,4.84,1.31,1.11,3.99,4.27,6.27,4.14,2.5,2.19,3.37,2.41,,
December,,,,,,2.27,7.31,3.76,1.68,2.28,2.91,3.36,3.7,2.4,3.67,1.71,5.39,2.84,,
Total,,,,,,38.31,37.54,41.72,35.52,35.31,30.65,36.31,45.7,35.2,31.54,29.48,39.23,22.09,,
