WHAPLODE - IRBY HALL FARM,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF323224,Long,-0.040,Lat,52.783,Elevation,11,ft,,,,,,,,,,,,,,
Station no,2530/1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.72,3.67,1.77,1.30,1.08,0.88,3.70,1.13,0.64,,1.59,0.78,0.65,,4.04,1.26,1.70,2.00,3.46
February,,,,0.57,0.51,1.58,1.30,2.35,0.92,0.57,0.61,2.49,2.40,0.28,1.26,1.43,,0.88,2.37,3.23,0.12,1.80
March,,1.62,2.92,0.99,0.45,0.34,0.52,0.86,4.86,,,0.08,2.89,2.16,0.64,1.80,1.85,0.88,2.12,1.30,1.68,1.22
April,,,0.43,0.42,0.87,2.09,1.02,1.06,1.75,1.24,,0.84,2.10,1.74,1.44,0.15,0.79,0.99,0.41,0.62,1.46,0.30
May,,1.12,2.51,2.65,2.25,1.09,1.41,0.58,0.25,2.83,1.83,1.82,2.45,2.17,1.93,3.08,2.77,1.16,1.65,2.42,0.61,0.48
June,1.79,0.60,0.51,0.74,2.21,2.02,1.74,0.98,2.11,,0.55,1.47,0.36,1.32,3.01,2.36,1.92,2.96,2.30,5.12,0.82,1.99
July,2.54,3.99,4.02,2.66,1.25,1.79,1.04,1.80,1.73,,,2.66,0.89,0.22,1.52,2.39,,2.36,2.24,2.65,1.99,2.98
August,1.91,0.38,3.61,2.36,1.65,2.68,2.96,2.10,0.00,,,1.80,2.67,2.25,2.59,3.35,1.08,3.90,1.92,2.37,1.11,3.37
September,0.76,0.72,0.84,1.00,1.75,3.56,1.63,2.21,0.68,,1.67,2.18,1.42,2.37,1.23,2.24,1.20,1.36,3.23,2.83,0.17,2.32
October,3.38,2.31,2.75,2.48,1.07,2.84,1.81,1.95,0.18,1.90,2.88,0.76,0.97,1.83,1.84,2.55,1.06,0.88,1.02,2.05,0.94,4.31
November,3.30,4.22,3.15,2.33,1.55,2.46,1.05,3.89,0.69,1.58,2.38,3.81,2.98,2.82,1.37,3.71,0.95,0.75,1.24,1.09,1.40,3.67
December,1.72,1.36,0.42,1.66,0.94,1.23,1.75,2.07,2.04,2.58,1.27,1.09,0.62,1.39,1.02,1.43,1.37,1.91,1.52,2.65,3.37,3.73
Total,,,,19.58,18.17,23.45,17.53,20.93,16.09,,,19.64,,20.14,18.63,25.14,,22.07,21.28,28.03,15.67,29.63
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/083,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/167,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/171,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Quite a lot of monthly readings are shown as bracketed estimated on the sheets. The values have all been omitted:,,,,,,,,,,,,,,,,,,,,,,
"# 1940: January, February, April",,,,,,,,,,,,,,,,,,,,,,
"# 1941: January, February",,,,,,,,,,,,,,,,,,,,,,
"# 1948: March, June-September",,,,,,,,,,,,,,,,,,,,,,
"# 1949: March, April, July, August",,,,,,,,,,,,,,,,,,,,,,
# 1951: January,,,,,,,,,,,,,,,,,,,,,,
"# 1955 January, February, July",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1989 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,
