FARNHAM-HIGH-PARK-ROAD,,,,,,,,,,
Grid ref,SU840471,Long,-0.7986816,Lat,51.216931,Elevation,260,ft.,,
Station no,RR8474,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.56,3.92,0.69,5.2,1.5,1.4,,
February,,,2.65,1.14,5.27,5.17,5.06,0.97,,
March,,,3.79,3.61,4.69,0.83,4.78,2.06,,
April,,1.94,0.03,3.04,1.38,1.21,0.98,1.99,,
May,,2.19,2.12,2.56,1.48,3.58,1.48,1.86,,
June,,2.22,3.58,0.45,0.52,1.47,2.26,2.73,,
July,,0.71,2.02,1.22,2.6,4.91,0.84,4.62,,
August,,1.25,4.7,1.22,1.56,1.23,4.35,5.29,,
September,,1.05,3.27,2.63,1.14,2.31,2.19,1.36,,
October,,3.34,3.31,4.14,2.12,3.76,5.26,,,
November,,4.46,2.2,2.87,3.29,2.44,4.8,,,
December,,8.02,3.78,1.6,10.13,6.83,3.09,,,
Total,,,35.01,28.4,34.87,38.94,36.59,,,
,,,,,,,,,,
"NGR is on High Park Road at stated altitude,",,,,,,,,,,
