COLEBY VICARAGE,,,,,,,,
Grid ref,SK977606,Long,-0.541,Lat,53.134,Elevation,270,ft
Station no,RR1449,,,,,,,
,,,,,,,,
,1855,1856,1857,1858,1859,1860,1861,
January,0.46,1.61,2.38,0.43,0.84,1.76,0.35,
February,1.98,1.18,0.60,0.06,0.98,0.51,1.53,
March,0.95,0.36,1.69,,0.71,2.09,1.37,
April,0.63,1.68,1.27,1.72,2.73,0.59,0.78,
May,1.36,2.70,1.02,1.46,1.25,3.62,0.63,
June,1.42,1.18,0.66,3.00,1.35,2.77,3.49,
July,3.88,2.86,3.42,1.38,2.52,1.70,4.02,
August,0.65,3.52,5.00,2.81,2.09,4.25,0.09,
September,0.63,1.32,2.00,1.32,2.10,3.14,1.17,
October,3.35,2.89,1.95,3.00,1.44,1.37,0.66,
November,1.26,2.11,1.05,0.87,0.84,1.96,2.11,
December,0.69,1.32,0.17,1.89,1.45,2.62,1.13,
Total,17.26,22.73,21.21,,18.30,26.38,17.33,
,,,,,,,,
TYRain_1850-1859_F_pt1/061,,,,,,,,
TYRain_1860-1869_04_pt1/045,,,,,,,,
,,,,,,,,
# Total for 1858 removed as there is no reading for March.,,,,,,,,
