GLASGOW UNIVERSITY,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 56803 66645,Long,-4.290153,Lat,55.871629,Elevation,139,ft,,,,,,,,,,,,,
Station no,5177,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.78,4.93,8.65,1.36,4.7,3.17,6.07,3.62,4.3,1.52,4.22,3.37,,,
February,,,,,,,4.28,2.4,4.09,1.67,0.18,3.08,0.04,2.83,0.36,3.8,1.69,4.74,,,
March,,,,,,,2.72,2.75,3.38,0.81,2.61,1.09,1.87,1.94,2.37,1.85,2.56,1.24,,,
April,,,,,,,2.44,2.38,1.14,0.97,1.09,1.42,3.24,1.74,2.8,2.77,1.07,1.72,,,
May,,,,,,,3.45,2.5,2.1,2.46,1.37,4.14,3.08,2.41,2.16,0.48,1.51,1.69,,,
June,,,,,,,2.18,3.96,5.24,2.73,2.71,4.54,0.87,2.1,1.96,4.91,1.63,2.26,,,
July,,,,,,,3.16,4.03,1.79,2.5,3.31,3.41,3.32,3.62,2.17,1.73,4.4,3.2,,,
August,,,,,,,3.06,6.02,2.74,5.74,5.64,2,1.55,2.28,4.27,1.85,2.77,3.26,,,
September,,,,,,,2.84,5.65,2.8,1.16,4.81,1.06,3.36,0.66,4.32,4.85,3.31,,,,
October,,,,,,,5.33,4.97,5.57,4.68,5.45,2.73,5.64,2.42,5.03,7.98,3.74,,,,
November,,,,,,,5.98,3.78,4.46,6.2,4.38,6.18,2.95,1.65,0.92,3.61,3.64,,,,
December,,,,,,,1.52,1.16,3.81,8.54,3.81,3.07,6.68,0.54,4.4,2.57,5.12,,,,
Total,,,,,,,41.74,44.53,45.77,38.82,40.06,35.89,38.67,25.81,35.06,37.92,35.66,,,,
,,,,,,,,,,,,,,,,,,,,,
Location approx based,,,,,,,,,,,,,,,,,,,,,
on University Buildings,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5177,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,658953,,,,,,,,,,,,,,,,,,,,
