BRECHIN TRINITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 60587 62104,Long,-2.646065,Lat,56.748883,Elevation,295,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.43,2.09,5.08,1.82,3.1,1.85,5.4,1.9,4.69,1.8,2.64,3.7,1.97,2.73,1.7,,,,,,
February,,,,,,,,,,,1.6,0.56,2.8,7.11,1.7,3.84,5.49,2.25,1.7,2.4,1.8,2.1,0.25,2.8,0.2,,,,,,
March,,,,,,,,,,,1.91,2.19,2.15,1.84,0.83,1.52,0.85,2.4,4.9,0.3,1.34,1.8,2.84,2.44,3.14,,,,,,
April,,,,,,,,,,,1.99,1.3,2.38,2.76,1.8,2.81,2.15,3.9,0.7,1.8,2.31,1.9,3.17,1.3,6.08,,,,,,
May,,,,,,,,,,,3.69,2.64,0.61,2.41,4.1,3.45,2.35,2.81,1.4,3,1.75,3.8,3.21,1.63,2.6,,,,,,
June,,,,,,,,,,,0.87,0.69,1.76,0.75,1.6,0.54,2.7,4,2.54,1.8,2.35,5.7,1.25,0.99,1,,,,,,
July,,,,,,,,,,0.76,2.82,2.29,3.66,1.5,4.29,1.76,3.25,2.8,2.03,2.95,3.02,4.8,4.97,2.7,2.43,,,,,,
August,,,,,,,,,,2.7,3.17,2.83,1.84,5.26,3.28,2.64,2.29,5.08,4.42,4.3,6.08,2.2,1,0.93,3.5,,,,,,
September,,,,,,,,,,1.24,1.69,1.29,3.22,3.02,4.65,3.15,4.39,5.02,2.8,0.94,5.11,1.43,2.41,1.36,3.09,,,,,,
October,,,,,,,,,,1.52,3.84,1.69,1.29,2.77,5.3,2.87,5.46,5.3,3.54,3.01,3.25,0.95,7.31,4.7,3.37,,,,,,
November,,,,,,,,,,4.39,2.74,3.07,1.59,3.81,2.35,1.1,6.5,2.59,3.24,3.8,4.4,6.51,1.43,3.41,0.91,,,,,,
December,,,,,,,,,,5.57,4.16,1.61,1.89,3.8,3.9,2.5,0.37,3.35,3,4.1,4.65,1.8,2.66,1.84,6.18,,,,,,
Total,,,,,,,,,,,30.91,22.25,28.27,36.85,36.9,28.03,41.2,41.4,34.96,30.2,38.7,36.69,32.47,26.83,34.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1922 P Mar Oct Dec partly Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Jun Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Dec corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
