CAMBRIDGE-COLDHAMS-LANE,,,,,,,,,,
Grid ref,TL476579,Long,0.15828139,Lat,52.199576,Elevation,30,ft,,
Station no,1204/3,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.46,1.13,1.55,3.37,1.25,
February,,,,,1.23,1.33,1.37,0.53,0.21,
March,,,,,0.81,1.21,4.38,0.64,0.6,
April,,,,,0.95,0.9,1.46,1.59,1.43,
May,,,,,1.86,1.5,0.43,2.96,1.88,
June,,,,,1.28,2.46,3.11,2.35,0.85,
July,,,,,1.33,2.57,1.17,0.87,1.92,
August,,,,,1.68,3.16,0,5.49,1.07,
September,,,,,2.38,2.8,1.15,1.34,0.21,
October,,,,,2.37,1.16,0.17,,2.27,
November,,,,,0.18,3.82,1.13,,1.59,
December,,,,,2.12,1.55,2.67,1.6,1,
Total,,,,,17.65,23.59,18.59,,14.28,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1948 Oct Nov estimated,,,,,,,,,,
