PEACEHAVEN,,,,,,,,,,
Grid ref,TQ408013,Long,-0.003603455,Lat,50.794171,Elevation,119,ft,,
Station no,472/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.28,1.98,2.2,2.24,0.8,4.22,5.17,3.96,5.71,
February,1.45,0.02,2.17,0.22,4.15,1.92,5.42,0.8,1.49,
March,0.51,1.24,1.85,3.4,0.57,1.34,3.35,0.62,1.41,
April,2.89,1.78,1,1.76,3.26,1.92,2.62,0.38,2.59,
May,2.66,2.76,1.56,0.3,0.84,0.31,3.11,2.52,0.93,
June,1.67,1.03,2.06,1.35,2,2.28,1.54,0.73,1.54,
July,2.77,3.43,1.21,1.1,0.13,3.19,1.45,1.16,3.2,
August,2.68,0.61,0.92,2.57,4.95,0.43,1.31,1.12,1.95,
September,1.6,2.62,4.03,1.26,5.52,2.02,2.45,2.76,0.55,
October,0.42,6.59,2.33,1.48,5.07,1.1,3.12,3.36,6.46,
November,3.59,1.14,0.99,3.67,6.43,3.79,1.44,3.19,6.05,
December,1.21,0.78,1.05,8.06,3.68,2.32,4.37,2.65,1.49,
Total,23.73,23.98,21.37,27.41,37.4,24.84,35.35,23.25,33.37,
