GODLEY RESERVOIR NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ967954,Long,-2.051163,Lat,53.455344,Elevation,488,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2742/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.79,4.69,5.9,4.15,2.23,2.37,2.2,3.02,3.68,4.1,4.64,1.55,0.8,3.4,4.81,4.8,2.9,4.46,2.67,8.05,2.29,2.54,3.86,4.27,1.92,4.29,2.46,4.87,2.37,3.49,3.51,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.97,0.39,4.68,0.31,3.56,0.29,3.83,2.45,6.07,1.18,3.38,2.07,3.62,1.54,2.51,2.05,3.72,6.65,1.07,2.37,1.96,4.76,3,1.31,2.37,2.87,1.52,1.37,2.34,5.26,0.42,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.81,2.74,0.29,2.52,3.59,2.75,1.82,1.93,2.06,1.31,1.96,2.8,3.41,2.66,0.94,0.65,1.19,1.07,5.51,1.14,1.69,1.8,5,2.34,2.76,2.52,1.94,1.22,3.33,2.14,1.57,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.77,2.48,4.07,3.87,1.2,1.71,2.63,1.18,3.17,0.4,1.9,2.54,1.96,1.81,1.83,2.71,1.9,1.87,2.87,1.48,3.43,3.44,2.53,3.91,2.51,1.03,2.2,2.59,0.34,1.19,2.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.57,1.96,2.47,4.05,1.89,2.4,0.65,0.35,1.95,4.01,1.71,3.19,2.14,4.16,1.92,4.39,3.51,1.35,3.1,1.3,3.51,1.75,1.41,2.11,1.95,3.34,3.74,1.32,1.57,3.06,0.79,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.18,3.47,6.16,0.35,2.73,2.08,3.37,2.94,1.9,3.16,2.57,1.06,2.89,1.31,3.16,3.03,4.09,3.69,2.73,5.35,1.12,2.91,1.57,2.81,3.52,3.01,2.9,3.62,2.17,5.07,2.36,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.11,5.71,4.35,6.81,2.89,3.23,1.57,4.28,2.9,4.2,6.57,5.87,2.4,4.59,2.03,2.87,1.89,6.24,3.48,2.95,2.14,3.37,3.48,4.3,6.59,6.79,1.27,5.6,4.58,4.95,3.78,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.17,4.44,6.76,1.78,1.23,2.5,1.51,2.46,1.9,2.24,1.58,1.84,5.51,3.91,4.94,3.66,2.89,4.42,0.51,5.35,3.43,3.95,4.92,2.78,4.74,6.35,1.08,10.63,5.35,5.67,0.32,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.5,3.1,4.08,3.54,1,3.03,5.6,5.2,1.35,1.83,1.02,3.17,0.59,2.28,4.13,4.61,2.96,6.62,2.4,2.39,0.91,5.47,2.38,4.08,2.63,4.91,2.21,2.54,7.28,4.07,0.21,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.63,5.09,1.82,7.94,5,5.06,5.75,4.09,1.59,6.45,1.69,3.15,4.41,5.88,2.97,3.75,6.04,0.59,0.72,2.62,3.14,2.4,1,3.95,1.98,6.74,1.98,2.84,4.45,3.54,3.18,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
