Rainfall at,GODLEY RESERVOIR
,
Station no,2742/1,
,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.25,2.46,2.87,1.25,2.57,2.05,1.09,1.32,1.75,4.00,
February,0.50,0.31,2.43,3.55,4.47,0.36,1.55,1.70,2.05,0.81,
March,3.65,1.59,0.63,0.72,3.07,2.94,4.46,2.31,1.75,1.80,
April,0.60,1.84,1.27,0.62,1.77,1.17,1.46,2.22,2.15,2.90,
May,2.67,3.35,3.90,2.68,2.62,1.16,0.52,1.54,3.35,2.27,
June,3.53,2.35,2.97,2.16,3.21,2.63,2.62,3.35,2.63,1.80,
July,3.34,3.57,2.85,3.38,2.62,5.95,1.78,1.67,0.90,1.66,
August,5.07,6.68,4.04,2.90,4.00,3.39,2.39,2.96,5.90,1.57,
September,0.87,3.42,3.40,4.00,0.70,1.17,5.94,3.50,0.41,5.24,
October,2.31,4.80,6.00,2.39,3.65,2.76,4.01,1.46,3.10,2.95,
November,4.50,2.28,2.26,2.60,2.03,2.30,1.22,4.05,1.80,1.45,
December,0.25,5.70,2.15,3.33,2.54,3.37,3.37,2.37,3.78,2.46,
Total,30.54,38.35,34.77,29.58,33.25,29.25,30.41,28.45,29.57,28.91,
Calc annual,30.54,38.35,34.77,29.58,33.25,29.25,30.41,28.45,29.57,28.91,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
