Rainfall at,GODLEY RESERVOIR (OLD GAUGE)
,
Station no,2742,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.70,5.52,2.59,3.31,3.07,2.40,3.03,3.40,8.61,1.70,4.67,
February,3.90,0.33,4.67,4.70,0.81,6.10,3.13,1.40,4.33,0.97,0.41,
March,2.55,2.64,2.26,1.67,0.93,1.53,1.40,4.07,1.33,0.80,2.65,
April,4.21,1.47,2.72,2.90,1.59,1.96,1.68,3.04,0.90,1.73,2.35,
May,5.19,2.02,1.30,3.70,5.22,3.94,4.16,1.05,0.81,2.47,1.82,
June,2.48,0.38,2.47,1.16,2.75,0.06,2.95,5.35,5.97,1.13,3.34,
July,6.35,1.31,4.69,4.64,3.87,2.10,2.39,3.94,1.60,3.01,5.52,
August,2.13,4.95,4.32,3.97,4.95,3.51,4.40,3.58,5.04,4.10,4.37,
September,2.43,1.06,3.75,3.94,2.70,4.17,3.26,5.65,0.93,1.52,3.08,
October,1.13,2.27,0.48,3.80,4.70,4.16,3.89,2.43,3.52,4.61,4.75,
November,1.05,1.95,2.46,5.13,1.49,2.55,4.09,3.55,5.24,7.64,4.62,
December,2.42,4.92,3.34,3.65,3.15,2.98,1.75,0.74,2.25,6.01,2.56,
Total,38.54,28.82,35.05,42.57,35.23,35.46,36.13,38.20,40.53,35.69,40.14,
Calc annual,38.54,28.82,35.05,42.57,35.23,35.46,36.13,38.20,40.53,35.69,40.14,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
