CHALFORD-WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO907025,Long,-2.13603,Lat,51.721145,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2154/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.64,4.1,2.5,2.84,0.64,3.77,4.3,4.35,6.06,,2.64,,6,2.13,2.31,2.41,2.75,4.87,1.48,0.57,4.31,2.26,1.2,1.7,1.85,3.55,3.3,2.76,4.49,4.7
February,2.87,0.11,3.66,0.25,3.15,2.69,4.62,0.88,1.41,2.73,3.83,,1.5,0.64,2.49,1.68,1.13,1.48,1.74,6.25,4.11,0.59,1.97,3.15,1.49,0.24,3.79,3.99,0.17,3.18
March,0.53,2.24,3.19,2.27,0.58,2.14,3.98,0.25,2.09,2.56,3.17,2.99,0.96,0.27,1.18,1.19,7.48,1.54,1.67,1.4,3.52,2.55,1.05,3.06,1.78,0.55,2.64,1.59,2.89,1.64
April,2.77,4.34,1.19,1.81,5.09,2.33,3.6,0.1,3.81,2.57,1.16,,0.75,1.47,1.31,1.17,2.92,2.59,2.13,2.9,3.42,2.07,2.71,0.33,1.01,2.14,0.2,0.79,3.36,1.36
May,3.71,6.71,2.27,1.07,1.2,1.01,1.88,2.44,1.02,1.57,1.93,,4,0.76,2.26,3.43,2.01,4.26,2.96,2.28,2.64,3.2,2.81,1.68,4.67,0.6,1.56,2.8,1.42,1.37
June,3.67,1.72,1.3,1.23,3.92,2.16,1.04,1.53,1.75,0.61,1.67,0.14,2.27,3.97,3.46,2.99,2,2.53,0.69,1.88,1.53,2.32,2.03,6.15,3.58,2.85,1.23,3.44,2.07,2.84
July,4.79,2.65,2.03,1.29,0.45,5.5,2.7,2.61,5.19,5.24,1.72,1.93,1.24,1.86,1.38,1.26,2.48,0.75,0.83,3.82,1.18,0.36,4.11,2.79,0.54,3.78,3.91,4.67,1.92,4.18
August,7.04,1.14,0.89,1.86,1.82,0.4,0.82,3.46,3.91,0.09,3.86,4.3,2.37,2.27,1.76,6.73,0.54,3.96,1.5,4.43,5.45,4.11,4.02,3.63,0.49,5.08,3.76,3.02,2.18,5.29
September,3.11,3.65,2.85,2.18,5.12,3.07,2.06,3.37,0.77,1.24,0.71,2.08,1.96,2.79,1.96,3.81,1.88,3.17,1.51,4.52,3.35,1.68,2.85,3.71,0.82,3.94,3.88,5.1,0.23,4.8
October,0.54,5.48,3.2,2.64,3.45,1.38,3.3,4.08,3.28,,2.2,3.04,2.19,4.36,3.66,0.44,0.31,3.58,6.73,0.89,0.95,4.73,2.31,3.71,1.8,1.47,2.2,2.77,2.26,5.95
November,5.23,2.18,0.66,1.41,6.02,3.48,1.74,3.85,5.43,,2.65,1.86,1.4,5.72,0.57,5.49,1.82,1.78,2.98,7.24,7.09,2.99,1.54,6.79,3.75,0.99,1.89,2.75,3.62,5.78
December,1.65,1.49,0.42,6.78,4.03,3.57,2.6,4.49,2.23,1.41,2.05,3.75,1.86,1.5,5.09,2.67,2.57,4.61,1.52,2.07,2.91,2.5,1.09,2.49,3.76,3.85,2.53,3.81,6.41,3.28
Total,38.55,35.81,24.16,25.63,35.47,31.5,32.64,31.41,36.95,,27.59,,26.5,27.74,27.43,33.27,27.89,35.12,25.74,38.25,40.46,29.36,27.69,39.19,25.54,29.04,30.89,37.49,31.02,44.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Oct Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Feb Apr May estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: There is some evidence on TYRs that the gauge may have moved over time but conflicting distances and directions make this difficult to confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
