PLYMOUTH-OLD-TOWN-ST,,,,,,,,,,,,,,,,,,,,
Grid ref,SX480546,Long,-4.13883,Lat,50.37185,Elevation,110,ft,,,,,,,,,,,,
Station no,RR4637,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,5.95,6.68,5.35,4.37,5.4,3.05,3.65,7.96,6.79,4.79,8.56,1.22,7.25,2.54,
February,,,,,,4.04,4.17,3.14,1.72,3.77,4.34,2.55,6.71,3.81,2.63,1.63,4.71,2.76,2.1,
March,,,,,,2.5,3.47,4.3,2.02,3.3,1.64,1.85,2.89,4.09,2.15,1.06,4.16,3.76,1.65,
April,,,,,,0.6,1.51,3.19,3.29,0.84,0.13,5.9,2.05,0.45,2.08,1.36,5.11,4.44,4.46,
May,,,,,,2.62,2.28,3.94,1.67,6.07,1.52,0.1,1.27,1.8,0.52,2.27,0,4.17,4.31,
June,,,,,,1.36,1.72,0.88,0.54,0.17,0.24,1.95,4.17,1.82,1.43,3.15,1.65,0.73,0,
July,,,,,,2.86,1.74,4.32,0.47,0.77,1.88,6.69,2.97,3.2,1.21,2.36,2.97,3.32,2.8,
August,,,,,,4.99,5.41,1.2,4.21,0.39,1.96,2.27,2.01,5.03,3.2,3.11,3.58,3.46,6.66,
September,,,,,,0,9.77,2.57,4.9,4.34,1.67,6.25,3.23,1.82,6.77,3.19,6.44,4.53,4.23,
October,,,,,1.55,8,2.04,4.25,6.7,2.2,4.46,4.3,6.05,1.62,7.66,4.27,4.5,2.6,5.67,
November,,,,,4.56,4.86,2.52,1.56,2.26,2.93,2.54,1.24,5.94,3.15,3.9,5.75,4.7,8.84,3.2,
December,,,,,4.19,3.54,4.07,2.8,8.22,4.38,3.55,3.75,6.7,1.79,5.8,1.82,10.75,2.9,5.85,
Total,,,,,,41.32,45.38,37.5,40.37,34.56,26.98,40.5,51.95,35.37,42.14,38.53,49.79,48.76,43.47,
,,,,,,,,,,,,,,,,,,,,
Gauge 35ft above ground so taken to be on roof ,,,,,,,,,,,,,,,,,,,,
1875 The total is believed to be correct but the observations are apparently not taken at the close of each month,,,,,,,,,,,,,,,,,,,,
