HESWALL-GRETA,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ269813,Long,-3.098921,Lat,53.323553,Elevation,230,ft.,,,,,,,,,,,,,
Station no,2800,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.04,2.6,2.2,1.45,1.61,1.48,4.63,1.9,3.6,,
February,,,,,,,,,,,0.33,2.43,0.11,2.99,0.23,2.12,2.51,4.93,0.45,,
March,,,,,,,,,,,3.9,0.26,1.75,2.26,1.89,0.72,1.68,1.91,0.91,,
April,,,,,,,,,,,3.1,2.49,2.96,0.84,1.71,2.21,1.26,3.14,0.24,,
May,,,,,,,,,,,1.24,2.71,3.72,1.5,1.71,1.91,0.97,3.21,2.68,,
June,,,,,,,,,,,1.52,5.26,0.7,1.87,1.46,4.24,4.6,1.64,2.82,,
July,,,,,,,,,,,5.57,2.28,4.44,1.41,1.4,1.34,3.19,2.46,3.17,,
August,,,,,,,,,,,4.22,6.86,1.25,1.79,2.93,1.78,1.48,1.24,4.82,,
September,,,,,,,,,,,2.81,3.09,2.87,0.75,2.79,5.1,3.38,2.26,1.81,,
October,,,,,,,,,,,4.34,1.43,5.54,3.19,4.05,4.07,1.84,2.37,3.8,,
November,,,,,,,,,,,3.74,3.94,2.35,1.68,2.59,3.89,2.71,1.6,3.45,,
December,,,,,,,,,,,3.76,1.78,1.23,0.71,4.77,3.5,3.54,3.16,3.42,,
Total,,,,,,,,,,,38.57,35.13,29.12,20.44,27.14,32.36,31.79,29.82,31.17,,
,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationships to church and station as well as the stated altitude.,,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,,
