INVERBERVIE (BERVIE SCHOOL),,,,,,,,,,
Grid ref,NO830728,Long,-2.28031,Lat,56.846334,Elevation,80,ft,,
Station no,5615/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.68,1.93,4.33
February,,,,,,,,3.8,0.28,2.66
March,,,,,,,,4.26,0.91,1.89
April,,,,,,,,2.28,1.89,1.63
May,,,,,,,,2.44,1.71,0.8
June,,,,,,,0.76,1.46,2.77,2.17
July,,,,,,,4.95,7.23,1.16,2.69
August,,,,,,,4.75,6.4,0.28,3.26
September,,,,,,,1.61,2.31,0.54,3.8
October,,,,,,,1.46,1.3,4.94,5.31
November,,,,,,,0.97,0.68,4.92,5.57
December,,,,,,,2.58,3.86,5.37,2.12
Total,,,,,,,,38.7,26.7,36.23
,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP Unorthodox site,,,,,,,,,,
BR 1960 NP Unorthodox site,,,,,,,,,,
,,,,,,,,,,
Station no,5615/8,,,,,,,,,
Midas,15001,,,,,,,,,
Hyd Stn,851407,,,,,,,,,
