INVERBERVIE (BERVIE SCHOOL),,,,,,,,,,,,
Grid ref,NO830728,Long,-2.280310,Lat,56.846334,,,,,,,
Station no,5615/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.68,1.93,4.33,,
February,,,,,,,,3.80,0.28,2.66,,
March,,,,,,,,4.26,0.91,1.89,,
April,,,,,,,,2.28,1.89,1.63,,
May,,,,,,,,2.44,1.71,0.80,,
June,,,,,,,0.76,1.46,2.77,2.17,,
July,,,,,,,4.95,7.23,1.16,2.69,,
August,,,,,,,4.75,6.40,0.28,3.26,,
September,,,,,,,1.61,2.31,0.54,3.80,,
October,,,,,,,1.46,1.30,4.94,5.31,,
November,,,,,,,0.97,0.68,4.92,5.57,,
December,,,,,,,2.58,3.86,5.37,2.12,,
Total,,,,,,,,38.70,26.70,36.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,17.08,38.70,26.70,36.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
