TARPORLEY-TILSTONE-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ568611,Long,-2.6473253,Lat,53.145282,Elevation,220,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2767/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.23,2.24,2.93,4.23,3.6,2.48,2.48,1.69,5.99,2.31,0.71,1.61,3.03,0.98,1.37,1.58,,,,,
February,,,,,,,,,,2.04,2.98,1.94,1.56,1.22,2.02,4.18,1.65,1.64,1.24,4.5,3.32,1.22,,2.8,1.55,,,,,
March,,,,,,,,,,2.39,2.91,1.62,0.95,0.77,0.76,0.82,5.65,0.72,2.78,1.79,4.99,1.45,0.64,2.68,2.72,,,,,
April,,,,,,,,,,2.21,1.53,1.36,1.46,1.23,1.02,0.72,2.43,2.19,2.64,3.95,1.61,1.99,3.02,0.61,1.74,,,,,
May,,,,,,,,,,1.81,2.58,3.76,2.13,1.53,3.56,1.93,2.74,1.77,2.85,0.82,2.75,2.15,,2.43,3.42,,,,,
June,,,,,,,,,,1.53,1.4,0.25,2.67,2.2,1.51,3.23,1.42,3.56,0.97,1.32,1.3,2.05,1.37,4.23,4.36,,,,,
July,,,,,,,,,,4.48,2.28,3.36,3.52,2.67,1.5,3.51,2.49,1.85,2.93,2.82,1.63,1.6,2.99,4.46,0.63,,,,,
August,,,,,,,,,1.63,0.71,3.92,1.93,3.03,2.86,3.36,4.64,0.34,3.31,1.82,4.44,4.38,1.37,2.64,3.59,0.26,,,,,
September,,,,,,,,,0.88,2.98,0.82,2.66,3.3,3.55,0.96,3.28,1.65,1.8,0.49,5.77,1.7,2.87,2.55,2.61,2.68,,,,,
October,,,,,,,,,2.57,3.61,3.38,2.44,3.66,4.37,4.6,0.91,0.66,1.97,3.43,2.29,0.95,4.42,1.77,4.95,1.82,,,,,
November,,,,,,,,,3.9,5.91,2.64,0.51,2.25,4.58,0.34,4.09,3.13,2.18,4.46,3.59,7.05,1.83,2.15,5.29,1.4,,,,,
December,,,,,,,,,1.89,2.38,0.76,3.32,1.2,1.67,2.67,3.47,2.07,2.79,2.87,3.35,4.31,2.24,1.6,3.71,1.64,,,,,
Total,,,,,,,,,,32.28,27.44,26.08,29.96,30.25,24.78,33.26,25.92,29.77,28.79,35.35,35.6,26.22,,38.73,23.8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Tilstone Lodge. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun to Sep 1943 readings are duplicates of Cholmondeley Higginsfield plus there are 3 other duplicated readings in the decade also. Neither of the records admits to copying. Cholmondeley is 5 miles S and there is no obvious connection between the locations. Readings left in this reord.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
