STOKE-BRUERNE-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SP741499,Long,-0.91861234,Lat,52.142432,Elevation,320,ft,,,,,,,,,,,,
Station no,RR7067,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.2,0.95,0.82,2.24,1.84,0.98,1.71,1.92,2.41,,,,
February,,,,,,,,0.67,1.28,1.63,0.73,0,1.01,2.01,1.84,0.09,,,,
March,,,,,,,,1.41,3.08,2,1.62,0.95,0.63,0.18,1.29,2.15,,,,
April,,,,,,,,1.1,1.64,2.24,0.83,1.69,0.65,0.13,1.89,1.3,,,,
May,,,,,,,,2.67,1.34,3.71,1.49,3.33,1.37,1.79,1.68,0.2,,,,
June,,,,,,,,1.72,1.81,0.84,2,2.07,1.86,0.92,1.9,0.46,,,,
July,,,,,,,,0.88,5.26,2.13,3.5,1.72,2.08,3.03,3.28,3.31,,,,
August,,,,,,,,1.04,1.85,1.68,1.4,3.81,2.41,2.13,2.69,2.1,,,,
September,,,,,,,,2.08,0.82,2.53,0.99,0.76,3.3,0.64,1.15,0.9,,,,
October,,,,,,,,2.11,0.46,3.6,1.5,6.51,3.59,2.88,2.4,2.88,,,,
November,,,,,,,,1.95,3.69,1,2.59,2.04,1.23,1.77,3.96,4.6,,,,
December,,,,,,,,1.61,1.83,1.29,0.58,3.59,1.44,1.78,1.82,1.68,,,,
Total,,,,,,,,20.44,24.01,23.47,19.47,28.31,20.55,18.97,25.82,22.08,,,,
