GLEN LUSSA (CORRYLACH),,,,,,,,,,,,
Grid ref,NR707300,Long,-5.633074,Lat,55.509779,,,,,,,
Station no,5418/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.55,8.76,4.70,5.45,3.25,6.15,5.52,6.61,2.72,6.96,,
February,4.60,2.92,3.20,4.75,2.31,1.43,3.78,3.93,2.18,6.68,,
March,5.00,2.70,1.99,3.52,3.44,2.51,5.79,1.84,3.74,1.98,,
April,2.85,1.95,1.96,1.94,4.62,1.12,2.65,2.42,3.13,4.35,,
May,1.95,2.00,2.37,2.42,5.38,2.79,3.12,3.16,1.67,2.53,,
June,2.85,4.70,1.21,5.24,4.10,3.63,3.16,3.68,2.74,2.97,,
July,5.40,6.15,7.56,7.38,1.90,5.37,7.37,4.21,5.36,7.70,,
August,3.40,6.45,3.82,4.29,1.35,6.15,5.37,4.41,2.15,2.21,,
September,4.15,4.00,7.07,7.69,5.52,4.51,5.98,5.28,2.68,4.06,,
October,2.85,5.50,3.97,9.55,5.40,3.72,5.67,5.76,8.62,4.76,,
November,10.74,4.60,8.83,10.05,3.91,3.28,3.10,3.65,7.35,7.52,,
December,8.01,5.70,4.36,9.12,7.01,7.19,6.52,7.38,10.74,6.73,,
Total,58.35,55.43,51.04,71.40,48.19,47.85,58.03,52.33,53.08,58.45,,
Calc annual,58.35,55.43,51.04,71.40,48.19,47.85,58.03,52.33,53.08,58.45,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
