HOUSTON MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 40937 66672,Long,-4.54348,Lat,55.866894,Elevation,103,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,6.66,5.29,6.58,9.48,5.46,5.31,6.39,6.99,7.63,6.99,12.39,2.19,7.69,5.49,9,6.4,8.72,2.77,5.51,5.6,9.61,,
February,,,,,,,,,7.95,0.95,9.01,1.7,5.5,5.59,0.8,4.61,6.1,3.37,6.03,2.72,0.47,4.82,0.03,4.42,0.77,6.25,2.57,5.3,4.03,,
March,,,,,,,,,2.26,4.55,5.13,8.08,2.83,2.51,1,2.88,5.03,4.25,4.97,1.15,3.96,1.49,2.05,3.62,3.26,1.85,3.27,1.52,4.2,,
April,,,,,,,,,1.11,1.87,1.97,1.4,2.97,3.78,2.31,6.39,2.53,2.84,2.06,1.05,1.54,2.05,5.16,2.58,3.76,3.5,1.37,2.22,0.78,,
May,,,,,,,,,2.34,0.7,6.04,2.97,4.16,1.71,5.23,7.73,3.37,2.96,2.38,3.75,2.07,4.94,3.49,2.98,2.43,0.59,1.65,1.59,3.55,,
June,,,,,,,,,1.39,4.7,1.93,0.54,1.66,1.38,2.56,0.75,2.53,4.68,6.15,2.99,2.94,5.59,1.57,2.46,2.66,3.52,1.89,2.55,6.17,,
July,,,,,,,,,3.94,1.29,3.82,4.98,2.77,4.35,3.39,1.98,3,6.08,3.33,4.35,3.49,5.61,3.33,3.39,2.17,1.61,6.43,4.47,4.19,,
August,,,,,,,,,2.81,2.93,5.37,6.42,2.93,5.93,3.36,4.39,3.71,6.66,4.45,6.73,5.07,1.83,2.56,3.02,4.81,1.7,2.5,4.13,1.96,,
September,,,,,,,,,6.42,3.75,2.68,2.04,2.68,7.99,5.47,3.29,3.52,6.86,4.06,1.24,3.71,1.32,4.5,0.83,6.81,7.26,4.06,3.67,4.75,,
October,,,,,,,,,7.21,0.77,2.03,6.06,2.71,6.19,3.87,4.24,8.69,6.47,8.8,7.39,7.36,4.2,6.9,3.07,7.84,9.63,6.75,3.44,10.6,,
November,,,,,,,,,5.74,5.43,6.08,3.57,3.5,4.3,4.78,0.9,7.01,5.61,8.06,8.03,6.12,7.92,5.09,2.97,1.75,4.73,5.24,0.74,10.04,,
December,,,,,,,,,5.81,9.36,5.04,8.36,5.1,4.29,8.38,4.13,2.49,1.65,6.74,12.22,4.77,5.68,10.53,1.11,6.19,3.63,7.67,3.24,4.33,,
Total,,,,,,,,,53.64,41.59,55.68,55.6,42.27,53.33,47.54,48.28,55.61,58.42,69.42,53.81,49.19,50.94,54.21,36.85,51.17,47.04,48.91,38.47,64.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Apr + T changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,660055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
