STOGURSEY-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST201429,Long,-3.14347,Lat,51.17975,Elevation,140,ft,,,,,,,,,,,,,
Station no,2096,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.89,3.81,1.03,4.42,2.51,3.11,1.88,2.55,0.76,,,,,
February,,,,,,,,2.81,2.8,1.36,0.74,1.76,0.11,4.1,0.18,2.64,,,,,
March,,,,,,,,3.32,3.01,0.12,2.9,1.37,2.25,3.07,2.51,0.95,,,,,
April,,,,,,,,1.44,2,0.62,3.14,2.54,2.41,1.36,3.28,4.27,,,,,
May,,,,,,,,1.67,0.53,2.3,1.5,3.14,3.4,2.48,1.15,1.57,,,,,
June,,,,,,,,2.08,2.36,2.31,0.57,2.14,0.89,1.62,1.74,1.68,,,,,
July,,,,,,,,4.69,2.47,0.97,2.49,4.41,2.21,1.29,0.15,0.52,,,,,
August,,,,,,,,3.37,1.79,2,3.42,4.01,1.99,0.92,4.5,2.73,,,,,
September,,,,,,,,7.96,1.61,0.29,3.95,1.33,4.84,2.07,1.79,3.32,,,,,
October,,,,,,,,2.24,4.85,5.41,2.79,0.93,6.5,4.21,3.5,5.23,,,,,
November,,,,,,,,3.26,3.24,8.25,3.65,5.19,2.06,0.84,1.36,6.56,,,,,
December,,,,,,,,2.92,3.33,7.27,3.59,1.27,2,1.09,6.99,4.51,,,,,
Total,,,,,,,,39.65,31.8,31.93,33.16,30.6,31.77,24.93,29.7,34.74,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ivy House High St Between the Vicarage and the PO,,,,,,,,,,,,,,,,,,,,,
1935 Not a very good position near edge of bank,,,,,,,,,,,,,,,,,,,,,
1939 Terminated as no reply,,,,,,,,,,,,,,,,,,,,,
