BRISTOL-KINGSWOOD,,,,,,,,,,
Grid ref,ST635745,Long,-2.5268525,Lat,51.468282,Elevation,240,ft,,
Station no,2185/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.29,3.75,2.65,2.55,0.84,,,,,
February,1.79,0.08,3.69,0.24,3.22,,,,,
March,0.36,2.48,3.21,2.13,0.73,,,,,
April,2.19,3.15,1.43,1.37,5.09,,,,,
May,3.63,5.99,2.2,1.28,1.45,,,,,
June,3.84,1.21,1.75,1.53,3.41,,,,,
July,3.43,3.19,2.28,0.78,,,,,,
August,3.68,1.01,0.96,2.26,2.01,,,,,
September,1.88,5.15,2.99,2,6.16,,,,,
October,0.87,6.23,2.92,2.07,6.53,,,,,
November,4.05,1.8,0.79,,6.06,,,,,
December,2.08,1.74,1.08,,3.97,,,,,
Total,30.09,35.78,25.95,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1934 Nov Dec estimated,,,,,,,,,,
1935 Jul estimated,,,,,,,,,,
