ELGIN ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ217623,Long,-3.313338,Lat,57.643795,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5679/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.84,1.86,2.33,1.32,1.8,,,1.49,2.02,2.99,1.85,1.74,,,,,,,,,
February,,,,,,,,,,0.82,2.67,1.99,2.09,1.71,,,0.71,1.46,1.16,2.02,2.43,,,,,,,,,
March,,,,,,,,,,2.98,2.11,0.84,1.39,1.38,,,2.21,0.69,2.25,2.05,1.78,,,,,,,,,
April,,,,,,,,,,1.57,1.54,0.54,1.71,1.31,,,1.3,2.11,1.17,3.16,2.59,,,,,,,,,
May,,,,,,,,,,1.39,2.95,2.11,3.01,2.04,,,1.33,1.3,2.5,1.22,0.72,,,,,,,,,
June,,,,,,,,,,0.89,0.28,1.16,1.59,2.88,,,3.68,4.97,1.14,1.9,1.93,,,,,,,,,
July,,,,,,,,,,7.78,4.28,1.93,,1.84,,,2.39,2.84,2.04,1.74,4.61,,,,,,,,,
August,,,,,,,,,,2.24,6,3.09,,1.54,,,0.62,6.25,5.2,1.92,3.03,,,,,,,,,
September,,,,,,,,,,2.04,2.02,3.27,,4.68,,,3.53,1.66,1.88,5.18,0.55,,,,,,,,,
October,,,,,,,,,,2.27,5,5.24,,2.53,,,1.35,2.82,1.71,0.58,1.09,,,,,,,,,
November,,,,,,,,,,4.68,2.5,1.57,,2.73,,,4.79,1.41,2.13,4.18,3.73,,,,,,,,,
December,,,,,,,,,,2.01,1.5,2.49,0.96,2.48,,,1.85,1.44,3.91,3.18,2.93,,,,,,,,,
Total,,,,,,,,,,29.51,32.71,26.56,,26.92,,,25.25,28.97,28.08,28.98,27.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Aug to Dec+T -999 deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5679/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,812417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
