"WEARDALE W.W. (WASKERLEY)",,,,,,,,,,,,
Grid ref,NZ022444,Long,-1.967308,Lat,54.794483,,,,,,,
Station no,3544,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.09,5.63,0.76,3.42,3.20,4.39,2.97,2.46,3.22,5.83,,
February,3.09,1.60,1.68,2.53,3.00,4.47,3.06,4.62,0.31,3.44,,
March,4.84,1.69,0.28,2.22,2.00,2.07,1.84,2.78,1.15,3.56,,
April,2.54,2.01,3.36,0.90,0.43,1.67,0.60,1.48,2.60,1.53,,
May,4.74,2.01,3.38,5.34,2.25,0.85,1.75,3.78,0.82,2.51,,
June,1.41,1.54,4.80,2.06,2.73,3.94,1.82,4.00,2.32,0.62,,
July,2.12,1.60,2.50,1.82,1.32,3.34,4.17,3.37,1.35,6.12,,
August,5.19,4.12,5.71,8.99,1.08,9.85,5.40,3.77,0.93,3.98,,
September,2.08,5.07,2.78,3.32,1.35,3.70,4.25,2.76,1.23,3.37,,
October,0.94,5.53,2.38,5.38,2.22,2.33,2.39,2.34,1.95,11.35,,
November,8.85,3.75,2.17,5.87,2.23,1.28,2.46,0.56,5.90,4.13,,
December,4.42,3.12,1.32,3.21,3.97,3.81,2.38,5.08,5.60,2.99,,
Total,42.31,37.67,31.12,45.06,25.78,41.70,33.09,37.00,27.38,49.43,,
Calc annual,42.31,37.67,31.12,45.06,25.78,41.70,33.09,37.00,27.38,49.43,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
