"WEARDALE WW RES HOUSE WASKERLEY",,,,,,,,,,,,
Grid ref,NZ026442,Long,-1.961088,Lat,54.792684,,,,,,,
Station no,3544,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.28,1.79,1.07,3.58,2.54,0.55,3.53,0.94,1.63,1.57,,
February,5.15,1.25,1.36,3.33,2.66,1.10,1.63,1.59,2.26,2.21,,
March,1.49,2.65,1.44,3.21,2.49,2.88,1.78,1.71,5.19,5.92,,
April,1.59,1.84,1.79,1.60,2.00,3.47,2.26,2.30,4.05,2.58,,
May,1.65,1.96,3.11,3.64,3.27,1.05,4.99,3.98,2.56,1.99,,
June,4.69,1.77,2.59,2.45,2.06,1.07,1.12,3.81,0.75,3.30,,
July,1.25,2.85,3.48,5.37,1.76,0.56,0.74,2.56,2.76,2.67,,
August,6.77,2.85,1.92,2.84,3.39,3.80,3.96,2.21,2.19,3.88,,
September,1.19,1.71,1.04,3.48,0.66,3.02,1.14,0.30,2.75,2.86,,
October,5.37,2.92,3.29,9.33,1.09,2.87,5.12,6.67,2.63,2.96,,
November,3.53,5.10,2.33,1.80,3.06,5.52,4.08,2.36,1.42,0.86,,
December,2.50,2.90,3.32,2.32,2.02,1.13,2.05,4.44,0.97,3.87,,
Total,39.46,29.59,26.74,42.95,27.00,27.02,32.40,32.87,29.16,34.67,,
Calc annual,39.46,29.59,26.74,42.95,27.00,27.02,32.40,32.87,29.16,34.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
