BISHOPS CASTLE (THE MOUNT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO324892,Long,-2.997164,Lat,52.496498,Elevation,735,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.03,3.83,3.95,4.41,4.99,2.84,4.18,3.32,5.41,2.2,2.26,2.95,2.28,5.7,1.43,0.7,2.5,2.47,0.65,2.5,2.09,3.88,1.52,1.96,3.69,3.65
February,,,,,2.49,2.52,4.14,0.61,1.9,2.38,2.57,0.56,1.79,1.15,2.03,2.93,2.12,1.64,1.17,4.71,3.12,0.93,1.57,2.58,1.43,0.28,2.18,3.86,0.17,3.41
March,,,,,0.72,2.25,2.22,0.29,1.82,1.59,2.33,2.25,0.75,0.49,0.79,0.77,6.46,1.4,1.56,0.84,4.05,1.11,1.75,1.79,3.21,1.23,1.69,0.98,1.83,1.78
April,,,,,3.81,2.08,1.58,0.11,2.07,2.63,1.14,1.66,1.28,1.1,1.41,1.49,2.32,2.19,2.28,2.42,2.08,1.88,2.51,0.44,1.2,2.1,0.12,0.43,3.04,1.49
May,,,,,0.66,1.12,1.2,2.05,0.92,2.02,2.45,4.07,3.04,1.46,2.86,1.95,2.64,2.14,2.34,1.09,2.72,2.17,1.87,2.73,3.88,0.54,1.59,2.14,1.55,1.46
June,,,,,2.9,3.35,0.64,2.22,1.2,0.62,1.72,0.72,1.69,1.35,2.57,2.26,1.38,2.66,0.72,1.28,0.81,2.11,2.15,3.15,3.77,1.68,2.22,4.02,1.65,1.96
July,,,,,0.52,4.19,2.31,2.49,6.07,2.86,2.06,2.02,1.37,1.17,2.89,1.68,2.89,1.42,1.48,2.82,1.17,1.13,2.86,2.05,0.79,3.13,3.64,3.61,2.27,2.7
August,,,,,1.06,0.49,0.89,2.43,1.4,0.27,3.76,2.3,1.92,1.88,3.8,4.84,0.38,3.21,1.14,3.93,3.35,4.63,3.34,3.96,1.09,3.25,6.45,1.73,1.35,3.82
September,,,,1.28,3.98,3.5,1.8,1.01,0.86,1.39,1.08,1.8,2.94,3.15,2.24,3.9,1.47,2.71,1.75,4.39,2.13,2.51,2.9,2.12,1.06,3.32,5.02,5.98,0.01,3.9
October,,,,2.09,3.67,1.77,3.29,3.93,2.67,3.25,2.37,1.55,4.39,4.19,3.95,1.01,0.38,2.15,4,1.52,0.9,4.23,2.89,3.19,1.88,1.74,1.69,2.87,3.33,8.36
November,,,,1.65,4.42,4.16,1.36,4.66,5.52,7.32,2.96,0.91,2.11,3.89,0.41,4.83,2.45,1.79,3.3,4.01,6.34,3.15,2.05,6.93,2.51,1.34,2.67,2.19,3.2,5.02
December,,,,4.87,3.3,3.26,2.86,3.43,1.87,1.19,1.5,3.16,1.44,2.14,3.61,2.78,2.94,5.74,2.77,1.98,2.29,3.14,1.02,2.22,2.99,2.6,2.17,2.62,4.55,3.76
Total,,,,,28.56,32.52,26.24,27.64,31.29,28.36,28.12,24.32,28.13,24.17,28.82,31.39,27.71,32.75,23.94,29.69,31.46,29.46,25.56,33.66,25.9,25.09,30.96,32.39,26.64,41.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This station was moved from Castle Street in 1935 when the observer changed and the records have been separated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Observer notes that he received 1934 data, not sure from where or how he got the results, but nothing suggests these results are estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
