BISHOPS CASTLE CASTLE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO323891,Long,-2.998616,Lat,52.495587,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2274/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,
January,,,,,,,,,2.19,1.6,0.52,0.76,2.95,4.48,3.75,2.47,4.91,1.99,0.91,0.87,4.9,2.57,2.25,2.21,2.7,4.79,0.78,2.04,0.69,4.77,3.68,2.43,1.37,2.79,3.01,0.72,4.2,1.41,0.96,1.28,2.33,0.58,3.07,4.15,1.11,3.87,1.37,1.53,2.79,3.42,3.8,2.92,4.27,1.43,2.79,2.72,3.86,3.49,5.33,1.5,5.62,2.44,4.32,2.49,,,,,,,,
February,,,,,,,,,1.3,2.85,3.19,4.64,2.89,5.26,4.31,3.72,1.21,0.5,1.01,1.76,0.79,0.04,1.48,3.9,2.64,0.11,0.51,2.17,2.25,3.7,3.96,0.87,0.92,2.31,4.28,1.19,2.27,1.54,1.48,0.82,3.13,1.55,1.38,1.57,3.49,5.39,4.44,0.99,2.3,2.43,1.78,0.29,3.7,7.06,0.32,3.93,2.13,2.62,2.44,0.93,0.83,3.39,0.24,3.96,,,,,,,,
March,,,,,,,,,1.66,1.55,1.78,2.52,2.43,1.19,3.05,1.08,2.87,1.57,3,2.52,1.94,1.29,1.06,0.62,1.9,1.78,2.79,3.58,0.99,1.17,1.15,4.19,1.46,3.89,1.39,4.07,1.42,1.15,3.72,2.97,0.99,1.82,4.27,5.2,2.75,0.53,3.73,2.45,1.52,5.12,4.05,2.22,2.66,1.42,1.43,1.09,0.63,2.95,2.61,0.29,3.34,0.58,3.12,,,,,,,,,
April,,,,,,,,,1.33,2.16,1.86,1.2,3.19,1.49,1.08,3.17,1.44,1.37,1.78,6.42,1.1,2.59,0.94,0.27,1.86,2.28,1.02,2.39,1.73,2.72,1.19,2.52,2.37,1.68,1.19,2.57,0.95,2.63,2.95,2.27,2.03,1.16,0.23,4.74,1.06,1.45,1.46,1.62,1.77,1.89,5.46,1.19,3.07,1.97,4.03,1.93,2.74,1.96,1.51,0.96,3.76,3.29,3.76,,,,,,,,,
May,,,,,,,,,4.93,2.11,2.84,1.71,2.45,2,0.98,2.68,8.27,1.59,0.9,4.08,2.74,3.82,2.26,2.22,3.83,0.53,0.43,1.14,4.57,1.93,2.8,1.26,3.38,3.32,2.64,0.81,2,2.55,1.89,0.81,1.84,0.91,1.6,3.69,0.99,2.64,3.6,4,2.67,0.56,2.88,1.54,1.13,2.06,4.55,4.13,2.27,1.13,1.07,2.57,2.17,5.22,4.81,,,,,,,,,
June,,,,,,,,,3.65,6.26,4.2,2.95,4.69,2.89,2.06,3.41,1.8,1.64,3.44,0.4,1.28,2.83,2.13,1.46,1.94,1.24,2.12,2.29,1.31,2.62,3.15,2.67,2.69,1.98,1.05,2.17,1.95,3.38,1.58,3.23,2.53,2.49,4.8,1.37,2.2,0.87,1.66,2.12,0.88,1.03,2.4,0.58,1.04,0.6,2.34,0.01,1.65,4.38,3.97,2.28,1.39,3.94,0.71,,,,,,,,,
July,,,,,,,,,1.1,3.58,5.13,1.3,3.89,2.48,3.18,0.42,2.24,1.43,6.24,5.14,1.74,1.97,1.2,2.62,2.87,2.82,2.17,1.13,1.02,1.18,2.66,4.46,3.53,3.07,3.1,1.56,0.52,3.79,2.77,2.29,2.63,1.08,2.47,0.68,4.81,4.9,1.2,1.41,3.19,2.69,4.51,1.04,3.75,2.7,5.33,1.89,2.59,2.4,1.41,2.76,4.39,2.95,3.59,,,,,,,,,
August,,,,,,,,,6.26,5.38,1.12,5.09,2.53,1.06,2.3,4.5,1.36,2.4,4.15,3.16,3.85,4.97,2.42,1.82,3.47,2.75,1.49,3.34,2.2,1.28,3.82,1.49,4.11,4.1,3.84,4.36,2.08,3.15,3.58,1.67,3.85,1.37,6.24,1.55,3.01,3.31,2.22,5.05,1.35,2.49,1.08,3.16,2.63,2.89,3.21,3.08,2.36,5.4,3,1.77,2.88,5.93,1.7,,,,,,,,,
September,,,,,,,,,2.15,3.25,2.74,2.01,2.12,5.09,1.42,3.01,3,2.99,0.32,1.84,0.9,2.77,2.89,1.51,1.83,0.94,5.12,2.09,0.78,2.68,0.77,1.57,1.93,3.53,1.62,1.13,0.58,0.58,2.16,2.68,0.5,2.24,0.7,2.64,0.79,0.72,1.74,1.5,5.98,1.82,1.98,0.95,2.06,2.17,3.54,3.09,1.43,3.71,1.17,1.89,4.04,2.74,2.6,,,,,,,,,
October,,,,,,,,,4.89,1.19,5.36,3.62,5.24,3.27,2.04,5.3,5.3,2.83,1.56,3.48,1.77,6.21,2.34,3.23,3.8,3.35,4.26,1.68,5.81,2.68,3.31,2.42,2.63,7.26,0.66,2.08,4.91,6,2.01,4.28,3.9,2.76,3.37,5.8,2.11,3.42,5.73,3.64,1.72,2.63,3.95,1.69,1.24,5.81,3.92,3.51,2.82,2.59,4.6,4.09,4.08,0.8,5.55,,,,,,,,,
