"BISHOPS CASTLE CASTLE STREET",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2274,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,4.90,2.57,2.25,2.21,2.70,4.79,0.78,2.04,0.69,4.77,,
February,0.79,0.04,1.48,3.90,2.64,0.11,0.51,2.17,2.25,3.70,,
March,1.94,1.29,1.06,0.62,1.90,1.78,2.79,3.58,0.99,1.17,,
April,1.10,2.59,0.94,0.27,1.86,2.28,1.02,2.39,1.73,2.72,,
May,2.74,3.82,2.26,2.22,3.83,0.53,0.43,1.14,4.57,1.93,,
June,1.28,2.83,2.13,1.46,1.94,1.24,2.12,2.29,1.31,2.62,,
July,1.74,1.97,1.20,2.62,2.87,2.82,2.17,1.13,1.02,1.18,,
August,3.85,4.97,2.42,1.82,3.47,2.75,1.49,3.34,2.20,1.28,,
September,0.90,2.77,2.89,1.51,1.83,0.94,5.12,2.09,0.78,2.68,,
October,1.77,6.21,2.34,3.23,3.80,3.35,4.26,1.68,5.81,2.68,,
November,4.81,3.39,2.17,2.20,3.55,4.44,0.98,1.88,2.48,2.38,,
December,1.21,4.62,1.58,4.38,2.41,2.52,5.17,4.29,2.43,2.77,,
Total,27.03,37.07,22.72,26.44,32.80,27.55,26.84,28.02,26.26,29.88,,
Calc annual,27.03,37.07,22.72,26.44,32.80,27.55,26.84,28.02,26.26,29.88,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
