CATWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL088734,Long,-0.404169,Lat,52.347887,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.02,,,,,,,,,,,0.88,0.58,1.74,1.74,0.98,2.88,0.99,1.01,0.73,1.44,0.94,3.32,2.93,0.85,1.96,1.48,1.83,1.92,4.04,1.89,2.1,2.62,1.14,2.33,1.28,3.13,1.74,3.37,1.42,2.11,1.39,0.88,1.27,1.13,0.76,2.92,3.1,2.45,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.84,,,,,,,,,,,0.85,1.41,0.81,2.35,0.76,1.46,1.36,1,0.31,1.71,0.92,1.33,0.61,1.03,2.22,4.07,0.77,1.02,2.72,0.74,0.47,1.99,3.49,0.71,1.99,2.27,2.2,1.3,0.98,0.65,2.58,0.2,1.36,0.72,1.73,2.05,2.8,0.34,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.34,,,,,,,,,,,2.18,1.44,2.61,1.24,1.88,1.45,0.95,2.7,3.02,0.71,1.56,2.36,2.75,2.75,1.33,4.8,1.39,0.65,3.01,1.26,1.21,1.77,1.88,0.9,1.47,0.73,1.89,1.08,0.15,1.57,0.17,1.35,2.11,1.31,0.43,1.14,3.44,0.12,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.82,,,,,,,,,,,2.1,1.05,1.55,0.68,1.52,0.81,1.92,2.7,1.5,1.75,0.76,0.08,2.39,0.7,0.81,1.12,1.28,2.36,2.1,3.38,0.96,3.06,1.72,3.03,1.45,2.46,1.43,0.75,1,2.13,3.07,2.49,0.85,1.34,3.23,1.66,2.27,0.07,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.8,,,,,,,,,,,0.63,2.21,2.81,1.75,1.02,1.57,4.21,1.46,1.3,2.58,1.83,1.77,2.13,0.93,1.89,2.69,1.54,1.72,1.11,1.22,0.96,1.17,1.33,3.65,3.05,2.3,0.71,1.33,0.73,2.73,2.57,4.22,1.86,0.5,0.88,0.75,3.48,2.3,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.09,,,,,,,,,,,1.42,2.98,3.71,0.7,2.8,3.32,1.88,0.93,3.29,1.16,1.47,4.4,0.59,2.21,0.84,1.66,1.88,0.43,0.48,1.15,0.53,1.26,0.67,1.92,0.12,2.16,2.82,1.91,0.74,0.29,1.19,0.34,1.43,0.86,1.9,3.92,0.68,1.35,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,2.48,1.22,2.85,2.09,0.64,0.6,2.41,2.88,2.65,1.88,0.15,5.36,0.79,2.22,3.83,1.62,2.12,3.46,2.42,2.93,0.34,4.8,3.14,2.71,2.29,2.32,1.88,2.57,1.75,2.92,2.74,2,1.17,2.12,0.62,4.84,1.12,1.01,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,1.76,2.3,3.42,1.21,2.6,1.73,2.13,2.47,1.85,2.45,1.59,6.68,0.76,1.45,2.36,2.69,4.39,0.74,2.34,1.01,1.61,3.61,1.8,1.75,1.74,0.94,3.2,1.47,0.51,2.09,4.1,1.84,0.95,1.81,1.48,0.35,3.08,2.39,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,1.28,1.62,2.41,2.01,1.33,1.19,0.6,1.88,1.96,0.49,1.39,1.21,1.52,0.79,1.29,0.56,1.62,4.91,0.43,1.84,0.99,2.27,2.66,2.57,2.13,1.93,4.61,0.57,0.27,3.25,2.45,2.72,2.44,3.14,4.35,1.33,1.44,2.17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,1.93,1.53,4.95,0.96,1.25,3.54,3.15,1.53,3.64,1.7,1.94,2.11,3.61,2.68,1.01,1.76,3.02,1.5,1.05,1.1,1.27,0.71,2.89,4.12,3.51,2.21,1.81,2.9,2.53,1.01,0.46,2.96,1.38,1.19,2.42,1.17,2.17,1.56,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
