PETERBOROUGH ASHFIELD,,,,,,,,,,,,
Grid ref,TL181986,Long,-0.258793,Lat,52.572408,,,,,,,
Station no,RR7060,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.73,0.54,,
February,,,,,,,,,1.16,0.31,,
March,,,,,,,,,1.98,3.34,,
April,,,,,,,,,2.28,1.11,,
May,,,,,,,,,1.40,1.06,,
June,,,,,,,,,1.04,2.41,,
July,,,,,,,,,2.14,2.63,,
August,,,,,,,,,2.01,1.66,,
September,,,,,,,,,2.21,1.81,,
October,,,,,,,,,1.10,2.99,,
November,,,,,,,,,0.82,0.59,,
December,,,,,,,,,0.87,3.39,,
Total,,,,,,,,,17.74,21.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.74,21.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
