WATTEN STANSTILL,,,,,,,,,,
Grid ref,ND 28014 60823,Long,-3.237859,Lat,58.529549,Elevation,127,ft,,
Station no,RR8927,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.7,1.67,2.41,1.36,2.16,,,,,
February,1.95,2.78,2.74,1.42,2.67,,,,,
March,1.67,1.72,3.51,2.95,2.29,,,,,
April,3.86,2.08,2.66,1.37,1.2,,,,,
May,2.28,1.49,3.47,1.92,2.11,,,,,
June,1.05,3.19,0.91,1.52,0.59,,,,,
July,2.88,2.31,2.11,0.86,3.12,,,,,
August,3.48,1.46,4.79,0.51,2.09,,,,,
September,0.95,2.62,0.91,2.4,2.13,,,,,
October,1.86,1.77,3.05,1.46,2.26,,,,,
November,7.27,4.32,3.84,3.03,4.5,,,,,
December,3.83,3.89,3.67,3.62,3.77,,,,,
Total,33.78,29.3,34.07,22.42,28.89,,,,,
,,,,,,,,,,
BR 1910 P,,,,,,,,,,
,,,,,,,,,,
Station no,RR8927,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
