FLEET (KING'S ROAD),,,,,,,,,,,,
Grid ref,SU817542,Long,-0.829987,Lat,51.281093,,,,,,,
Station no,755/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.88,2.18,0.92,1.36,,,,,,,,
February,6.25,0.82,1.48,1.96,,,,,,,,
March,4.81,2.68,0.55,2.57,,,,,,,,
April,2.83,1.86,2.35,0.16,,,,,,,,
May,3.08,3.09,2.13,2.98,,,,,,,,
June,1.40,1.62,1.82,3.00,,,,,,,,
July,2.26,0.70,3.29,1.91,,,,,,,,
August,4.61,3.25,2.35,4.30,,,,,,,,
September,3.30,4.07,2.10,1.49,,,,,,,,
October,0.96,3.88,3.80,2.27,,,,,,,,
November,7.29,3.07,1.41,5.47,,,,,,,,
December,2.63,2.89,0.73,2.74,,,,,,,,
Total,43.30,30.11,22.93,30.21,,,,,,,,
Calc annual,43.30,30.11,22.93,30.21,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
