FLEET-KINGS-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU817542,Long,-0.82995,Lat,51.28111,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,755/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.37,2.89,5.57,,3.66,3.5,5.68,1.84,1.8,2.61,2.67,5.72,1,0.71,3.88,2.18,0.92,1.36,,,,,,
February,,,,,,,4.79,1.05,1.09,,2.58,1.08,1.98,0.81,2.25,2.9,1.72,1.82,1.04,4.65,6.25,0.82,1.48,1.96,,,,,,
March,,,,,,,3.55,0.29,1.6,,4.12,1.71,0.47,0.25,0.58,1.08,4.33,0.99,1.3,1.12,4.81,2.68,0.55,2.57,,,,,,
April,,,,,,,1.75,0.1,2.33,,1.48,1.87,0.97,1.13,1.31,2.41,2.58,2.05,2.03,3.34,2.83,1.86,2.35,0.16,,,,,,
May,,,,,,,2.45,0.78,1.07,,2.14,3.63,2.75,0.52,2.52,3.1,1.73,3.51,2.39,1.81,3.08,3.09,2.13,2.98,,,,,,
June,,,,,,,1.67,0.48,1.16,,1.74,0.41,1.02,2.3,2.37,3.22,1.75,2.14,0.73,1.44,1.4,1.62,1.82,3,,,,,,
July,,,,,,,1.07,1.97,4,,3.08,1.66,2.06,1.13,4.01,2.81,0.96,0.94,1.39,4.16,2.26,0.7,3.29,1.91,,,,,,
August,,,,,,,1.35,1.52,1.56,,4.97,2.38,2.54,1.56,1.1,4.83,0.38,2.99,1.31,4.94,4.61,3.25,2.35,4.3,,,,,,
September,,,,,,,2.93,0.79,1.04,,0.19,1.49,1.64,2.48,1.81,4.58,1.12,1.53,1.6,3.12,3.3,4.07,2.1,1.49,,,,,,
October,,,,,,,3.12,2.99,4.81,,1.5,4.62,3.48,4.27,1.07,,0.7,2.9,6.64,0.54,0.96,3.88,3.8,2.27,,,,,,
November,,,,,,,2.3,3.92,5.72,,3.48,2.44,1.72,4.84,,5.5,1.32,1.13,3.17,5.7,7.29,3.07,1.41,5.47,,,,,,
December,,,,,,,4.19,3.88,1.33,,1.8,3.27,1.34,2.81,4.11,3.06,1.93,4.15,1.42,1.6,2.63,2.89,0.73,2.74,,,,,,
Total,,,,,,,34.54,20.66,31.28,,30.74,28.06,25.65,23.94,,,21.19,29.87,24.02,33.13,43.3,30.11,22.93,30.21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Census has observer at White House Guildford Rd Sheet has no distances or elevation as received late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Newspaper lists him at Fernhurst Kings Rd House not found but NGR likely and matches distances and elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Did he move in 1940 Guildford Rd is about third of a mile SE Elevation about 250ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Record misplaced by observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Nov No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Oct No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Observer is 87 and recovering from a stroke No queries or letters should be sent re errors on returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Station terminated by observer request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
