BRIGHSTONE-PITT-PLACE-(JACK'S-HILL),,,,,,,,,,
Grid ref,SZ410834,Long,-1.4205,Lat,50.6492,Elevation,170,ft,,
Station no,597,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.42,3.9
February,,,,,,,,,0.25,2.48
March,,,,,,,,,1.89,2.54
April,,,,,,,,,1.66,0.63
May,,,,,,,,,0.65,2.27
June,,,,,,,,,0.33,1.94
July,,,,,,,,,2.56,3.16
August,,,,,,,,,1.9,4.56
September,,,,,,,,,0.21,6.72
October,,,,,,,,,2.47,7.3
November,,,,,,,,,3.65,4.89
December,,,,,,,,,5.87,3.73
Total,,,,,,,,,23.84,44.12
,,,,,,,,,,
,,,,,,,,,,
1959 Gauge re-instated with break ,,,,,,,,,,
1959 Gauge moved about 300 yards ,,,,,,,,,,
1959 Not printed as low,,,,,,,,,,
1960 Not printed as low,,,,,,,,,,
,,,,,,,,,,
Period average 1916-1950 rejected as unreliable,,,,,,,,,,
