BRIGHSTONE-PITT-PLACE-(PITT-PLACE-COTTAGE),,,,,,,,,,
Grid ref,SZ415834,Long,-1.4143,Lat,50.6489,Elevation,220,ft,,
Station no,597,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.69,1.36,1.58,3.68,4.88,2.17,,,
February,,0.88,1.08,3.12,2.16,0.28,3.96,,,
March,,3.54,0.28,3.74,1.03,0.41,1.98,,,
April,,1.64,1.6,0.27,0.6,2.5,0.3,,,
May,,2.47,1.92,2.09,3.29,0.31,0.69,,,
June,,0.93,1.8,2.38,3.46,1.88,1.56,,,
July,,0.46,2.19,3.09,0.22,2.8,5.35,,,
August,,2.54,1.4,2.84,1.25,6.75,1.95,,,
September,,5.84,2.44,2.02,1.95,3.12,4.11,,,
October,1.19,3.29,2.39,2.27,1.81,1.01,1.94,,,
November,7.34,4.69,1.78,4.29,2.19,0.87,2.5,,,
December,2.36,3.56,0.92,2.23,5.62,4.05,2.6,,,
Total,,31.53,19.16,29.92,27.26,28.86,29.11,,,
,,,,,,,,,,
,,,,,,,,,,
1951 Sept 15th Gauge moved 300yds E  to Pitt Place Cottage,,,,,,,,,,
,,,,,,,,,,
1954 Low total but observer says gauge is sound. Print with query,,,,,,,,,,
1957 Gauge terminated,,,,,,,,,,
,,,,,,,,,,
Period average 1916-1950 rejected as unreliable,,,,,,,,,,
