BRIGHSTONE-PITT-PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ412835,Long,-1.418605,Lat,50.649733,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.79,,2.33,1.14,4.53,5.02,,,0.82,,,7.46,5.48,4.89,7.71,1.61,4.24,,,,,,
February,,,,,,,,,1.02,,2.93,1.43,2.32,1.25,,,4.42,,,4.14,0.34,0.18,3.07,6.86,0.25,,,,,,
March,,,,,,,,,2.58,,1.42,2.1,3.69,2.38,,,4,,,5.69,2.8,1.87,3.34,2.6,2.56,,,,,,
April,,,,,,,,,2.19,,2.08,1.29,0.02,2.55,,,0.43,,,1.76,3.34,1.55,4.07,4.57,3.6,,,,,,
May,,,,,,,,,1.42,,1.62,0.96,1.51,2.58,,,1.83,,,0.37,1.15,1.15,0.92,3.17,3.89,,,,,,
June,,,,,,,,,0.41,,3.47,1.77,4.62,0.44,,,1.56,,,1.23,3.52,0.2,1.47,0.59,2.31,,,,,,
July,,,,,,,,,1.5,,2.82,0.35,1.72,1.19,,,1.57,,,1.82,7.69,0.45,4.4,1.46,2.62,,,,,,
August,,,,,,,,,2.15,,1.2,1.31,5.78,1.59,,,1.89,,,3.87,1.61,3.19,2.48,1.92,3.86,,,,,,
September,,,,,,,,,1.94,,0.24,1.56,2.61,3.1,,,2.39,,,1.98,2.46,0.59,2.08,3.99,5.58,,,,,,
October,,,,,,,,,1.36,,6.43,6.56,3.4,2.6,,,4.44,,,1.26,3.62,1.07,1.5,6.72,6.77,,,,,,
November,,,,,,,,,0.96,,4.57,4.94,2.28,3.19,,,3.89,,,3.64,1.68,3.25,2.76,2.13,3.54,,,,,,
December,,,,,,,,,2.84,,3.97,7.7,3.53,1.51,,,6,,,6.66,3.62,2.16,5.64,4.49,5.58,,,,,,
Total,,,,,,,,,19.16,,33.08,31.11,36.01,27.4,,,33.24,,,39.88,37.31,20.55,39.44,40.11,44.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Gauge leaky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
