"MOTTISTONE (JACK'S HILL)",,,,,,,,,,,,
Grid ref,SZ411835,Long,-1.420019,Lat,50.649740,,,,,,,
Station no,597,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.58,1.69,1.36,1.58,3.68,4.88,2.17,,2.42,3.90,,
February,7.11,0.88,1.08,3.12,2.16,0.28,3.96,,0.25,2.48,,
March,4.23,3.54,0.28,3.74,1.03,0.41,1.98,,1.89,2.54,,
April,2.08,1.64,1.60,0.27,0.60,2.50,0.30,,1.66,0.63,,
May,2.51,2.47,1.92,2.09,3.29,0.31,0.69,,0.65,2.27,,
June,1.23,0.93,1.80,2.38,3.46,1.88,1.56,,0.33,1.94,,
July,2.13,0.46,2.19,3.09,0.22,2.80,5.35,,2.56,3.16,,
August,4.04,2.54,1.40,2.84,1.25,6.75,1.95,,1.90,4.56,,
September,2.79,5.84,2.44,2.02,1.95,3.12,4.11,,0.21,6.72,,
October,1.19,3.29,2.39,2.27,1.81,1.01,1.94,,2.47,7.30,,
November,7.34,4.69,1.78,4.29,2.19,0.87,2.50,,3.65,4.89,,
December,2.36,3.56,0.92,2.23,5.62,4.05,2.60,,5.87,3.73,,
Total,40.59,31.53,19.16,29.92,27.26,28.86,29.11,,23.84,44.12,,
Calc annual,40.59,31.53,19.16,29.92,27.26,28.86,29.11,0.00,23.86,44.12,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,-0.02,0.00,,
