HITCHIN-HOLWELL-BURY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL166344,Long,-0.30310195,Lat,51.995814,Elevation,185,ft,,,,,,,,,,,,
Station no,RR7363,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.42,2.21,1.89,1.04,2.99,1.03,1.15,0.91,1.6,1.06,3.6,,,,,,,
February,,,1.07,1.02,2.31,0.93,1.34,1.1,0.82,0.19,2.83,1.37,1.46,,,,,,,
March,,,1.05,2.74,1.23,2.45,1.68,0.9,2.74,2.93,0.97,2.01,2.79,,,,,,,
April,,,0.64,1.38,0.95,1.51,0.75,2.87,2.5,1.25,3,1.08,0.17,,,,,,,
May,,,1.7,2.82,1.5,1.66,0.97,3.38,1.31,1.63,3.39,1.5,1.53,,,,,,,
June,,,2.53,6.38,0.69,2.97,3.54,1.4,1.18,5.05,1.43,2.75,3.48,,,,,,,
July,,,1.16,3.79,2.98,1.03,0.64,1.7,2.75,3.06,1.86,0.22,3.46,,,,,,,
August,,,2.9,3.15,1.86,3.49,0.76,1.84,2.74,2.14,2.43,1.86,5.7,,,,,,,
September,,,1.53,2,1.03,1.51,1.01,0.58,1.46,1.84,0.74,1.17,2.06,,,,,,,
October,,,1.49,5.22,1.16,1.33,3.45,3.31,1.75,4.24,2.34,1.93,2.08,,,,,,,
November,,,1.09,1.97,1.3,2.35,3.89,1.9,0.85,0.93,3.72,2.79,1.67,,,,,,,
December,,,1.42,1.46,1.63,0.83,1.99,3.13,1.44,2.68,4.57,4.71,2.48,,,,,,,
Total,,,17,34.14,18.53,21.1,23.01,23.14,20.69,26.85,28.88,22.45,30.48,,,,,,,
