BIRMINGHAM WW (ESGAIR GADER) NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN859665,Long,-3.674106,Lat,52.284757,Elevation,1655,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.9,4.95,8.8,6.2,8.8,,3.15,7.88,6.5,8.55,10.52,8.5,9.6,,7.3,8.3,9.4,13.1,,9.5,11.2,9.4,7.7,8.9,5.9,8.5,12.2,11,11.2,3.6,4.3,8.4,10.5,9,5.6,8.6,6.3,16,5.5,4.1,8,7.15,3.56,5.95,6.45,9.65,6.82,7.15,8.8,11,,
February,,3.9,3.4,2.55,7.45,10.2,8.95,2.25,6.75,4.01,5.51,0.6,9.75,14.4,2.5,14.3,6.3,6,7.8,1.1,0.7,,0.3,7.1,0.7,9,4,10.5,4.6,9.2,4.7,8,2.6,6.4,3.65,7.9,12.5,3.2,6,3.25,10.3,8,5.65,4.15,7.05,3.9,2.1,6.42,11.1,1.3,10.13,,
March,,3.05,9.35,10.9,10.35,2.4,2.6,4.35,4.86,9.58,8.95,7.15,5.4,3.57,3.2,3.3,,6.9,4.7,0.7,,1.7,5.3,4.25,6.7,2.6,4.4,4.2,2.45,4.8,5.1,5.1,4.45,1.65,1.1,3.1,1.85,14.2,4.5,5,3.8,10,3.59,6.2,5.25,5.05,5.35,6.1,1.6,4.9,3.13,,
April,,3.06,0.6,8.65,2.25,3.4,,4.2,2.3,4.7,10,2.38,5,,5.7,5.8,3.5,4.8,2.7,1.6,4.8,7.5,6.9,1.45,5.45,6.9,4.1,7.35,1.25,5.1,3.4,2.5,4.3,2.4,2.5,3,2.35,5.1,4,6.4,6.45,7,3.45,4.55,2.73,4.36,2.73,0.55,2.4,7.15,6.12,,
May,,1.96,1.9,3.9,4.4,4.15,4.9,4.05,4.55,0.95,6.21,2.84,2.2,6.4,7.8,5.5,4.4,2.4,1.3,4.5,3.8,6.3,6,2.2,4.1,2,2.9,2.15,4.15,1.35,2.2,4.9,7.95,6.4,2.8,4.6,3.65,4.05,3,7,1.8,3.29,4.1,4.25,4.1,6.58,2,3.2,4.35,2.43,2.21,,
June,,5.1,,5,2.4,1.75,4.45,3.65,3.85,5.3,4.7,0.97,3.5,2.19,4.25,0.45,3.8,8.2,8.4,5.3,2.3,4.6,2.2,4.65,2.95,6,6.7,2.55,6,3.6,0.5,1.8,0.8,4.5,3.5,7.3,5,3.5,7.5,0.7,2.5,1.49,4.85,2,6.65,7.65,4.05,2.85,5.2,3.91,3.8,,
July,,0.62,4.4,2.35,6.85,5.7,4.3,2.8,5.35,3.3,7.85,3.63,7.75,6.6,7.3,4.3,7.3,6.6,4.5,4.8,9.7,7.2,6.6,5.8,3.6,2.2,8.5,3.8,7,9.55,9.15,4.2,6.6,4.4,4,3.6,4.05,5,3.95,1.15,5,3.43,2.75,7.56,7.65,0.76,4.9,8.95,5.8,5.08,7.52,,
August,,4.1,14.25,3.65,5.45,5.65,5.4,14.93,3.1,4.73,2.85,8.1,4.65,7.1,10.6,5.1,,12.6,7.7,4.5,8.6,6.3,1.5,2.35,8.7,3,1.5,0.85,4.6,4.1,2.3,9.75,4.6,6.2,3,4,10.4,0.8,6,4,9.35,6.06,6.02,5.9,6.49,1.32,10.05,11.15,4.26,0.73,5.2,,
September,,4.85,1.8,3.5,3.5,1.65,5.85,4.05,15.41,3.74,6.8,2.95,6.1,7.7,9.1,7.3,4.8,8.5,2.5,3,9.6,3.8,6.85,1.8,5.7,10.6,6.6,4.3,2.9,1.2,4.9,1.25,5.6,7.6,6.25,5.6,11.45,4.2,7,2.5,12.25,5.35,5.7,7.56,8.59,5.27,7,12.66,9,0.62,6.6,,
October,,5.75,7.6,6.45,3.35,3.75,12.45,11,5.2,3.9,6.33,2.94,1.87,13.5,,10.3,6,5.9,8.2,11,12.7,3.8,14.1,8.9,,12.6,6.3,5.1,,4.1,8.8,7.5,8.2,6.1,11,6,3.5,1.85,5.5,9,3.75,2.34,8.15,4.56,9.95,5.95,4.75,7.1,7.45,10.8,7.03,,
November,6.75,6.55,7.5,9.05,7.6,5.8,6.05,8.45,7.44,5.7,3.4,5.45,3.1,7,5.2,5.7,,5.7,,15.9,10.9,10.8,7,2.45,3.6,10.1,,2.15,,16.3,15.9,5.9,1.5,7.3,11.3,1,12.8,7,4.3,10,8.5,14.25,5.45,7.5,13.5,4.16,5.1,4.15,4.65,8.1,12,,
December,11.37,11.4,10.15,5.6,13,13.5,4.6,2.1,13.77,12.8,5.79,8.75,8.25,9,11,7.7,3,3.2,,15.6,,5.6,4.1,1.3,14.4,6.2,,8.6,8.85,6.15,7,7.3,10.3,4.15,7.6,7.4,8.25,6.5,11,12,6.4,9.62,8,2.95,11.14,7.32,8.82,7.6,6.25,12.35,11.55,,
Total,,52.24,,70.4,72.8,66.75,,64.98,80.46,65.21,76.94,56.28,66.07,,,77.05,,80.2,,,,,70.25,49.95,,77.1,,63.75,,76.65,67.55,62.5,65.3,67.6,65.7,59.1,84.4,61.7,78.75,66.5,74.2,78.83,64.86,60.74,89.05,58.77,66.5,77.55,69.21,66.17,86.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record sheet. There is an overlapping gauge at a different location but in the same vicinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gaps in the records are for bracketed readings that have been removed along with the respective annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 total is bracketed but none of the monthly readings are and the total equals the sum of the monthly readings. Annual total left in the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
