"BIRMINGHAM WW (ESGAIR GADER) NO2",,,,,,,,,,,,
Grid ref,SN859665,Long,-3.674106,Lat,52.284757,,,,,,,
Station no,4230,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.00,7.15,3.56,5.95,6.45,9.65,6.82,7.15,8.80,11.00,,
February,8.00,5.65,4.15,7.05,3.90,2.10,6.42,11.10,1.30,10.13,,
March,10.00,3.59,6.20,5.25,5.05,5.35,6.10,1.60,4.90,3.13,,
April,7.00,3.45,4.55,2.73,4.36,2.73,0.55,2.40,7.15,6.12,,
May,3.29,4.10,4.25,4.10,6.58,2.00,3.20,4.35,2.43,2.21,,
June,1.49,4.85,2.00,6.65,7.65,4.05,2.85,5.20,3.91,3.80,,
July,3.43,2.75,7.56,7.65,0.76,4.90,8.95,5.80,5.08,7.52,,
August,6.06,6.02,5.90,6.49,1.32,10.05,11.15,4.26,0.73,5.20,,
September,5.35,5.70,7.56,8.59,5.27,7.00,12.66,9.00,0.62,6.60,,
October,2.34,8.15,4.56,9.95,5.95,4.75,7.10,7.45,10.80,7.03,,
November,14.25,5.45,7.50,13.50,4.16,5.10,4.15,4.65,8.10,12.00,,
December,9.62,8.00,2.95,11.14,7.32,8.82,7.60,6.25,12.35,11.55,,
Total,78.83,64.86,60.74,89.05,58.77,66.50,77.55,69.21,66.17,86.29,,
Calc annual,78.83,64.86,60.74,89.05,58.77,66.50,77.55,69.21,66.17,86.29,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
