BIRMINGHAM W.W. ESGAIR GADER NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN861659,Long,-3.670257,Lat,52.279866,Elevation,1500,ft.,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,3.4,4,6.86,2.26,6.1,9.2,5.75,,6.3,2.9,7.03,6.6,7.67,9.05,9.75,,,,,,,,,
February,,,,,,,,,4.4,1.68,7.83,4.6,3.85,2.75,7.35,10,,2.1,7.2,3.73,4.62,0.55,,,,,,,,,,
March,,,,,,,,,4.85,4.3,2.3,3.7,10.35,,10.15,2.15,3.7,4.4,4.35,8.29,7.9,6.72,,,,,,,,,,
April,,,,,,,,,3.27,5.03,5.28,3.4,0.75,8.35,2.35,3.35,6.15,4.4,2.25,,9.75,2.41,,,,,,,,,,
May,,,,,,,,,3.85,2.6,3.82,2.07,2.15,3.45,4.25,3.8,4.55,4.1,4.5,1.25,6.32,2.82,,,,,,,,,,
June,,,,,,,,,2.15,2.6,8.1,5.3,5.6,4.35,2.35,1.55,4.2,3.25,3.6,4.32,4,0.85,,,,,,,,,,
July,,,,,,,,,6.2,7.1,7.2,0.63,5,1.9,7.55,5.5,4.2,2.6,5,3.25,7.12,2.96,,,,,,,,,,
August,,,,,,,,,6.8,3.65,6.45,4.2,12.65,3.55,4.8,4.9,5.2,14,3.35,4.63,3.2,7.2,,,,,,,,,,
September,,,,,,,,,5.1,5,0.75,5.5,1.55,3.35,4,1.5,5.2,3.55,,3.1,5.06,2.36,,,,,,,,,,
October,,,,,,,,,2.65,9.18,6.25,6.1,6.85,6.25,3.4,3.45,11.9,9.75,5.85,3.75,6.05,2.6,,,,,,,,,,
November,,,,,,,,,5.43,2.78,8.55,7.5,7.1,8.55,9,5.15,5.7,7.4,,4.98,2.62,5.1,,,,,,,,,,
December,,,,,,,,,5.5,8.35,12.28,12.25,8.75,5.1,,13.95,4.55,2.4,12.92,14.5,5.54,7.5,,,,,,,,,,
Total,,,,,,,,,53.6,56.27,75.67,57.51,70.7,,,,,60.85,,,69.85,50.12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a guess based on the description. Gauge no 2 is at SN859665 and from its description it is higher than No1 and on flatter ground. The NGR for this location could be +/- 500 yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gaps in the records are for bracketed readings that have been removed along with the respective annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
