"BRAINTREE (COGGLESHALL ROAD)",,,,,,,,,,,,
Grid ref,TL772235,Long,0.573143,Lat,51.881902,,,,,,,
Station no,1305/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.67,2.06,0.99,1.48,2.53,3.75,1.13,2.09,2.11,1.77,,
February,5.18,0.61,1.19,1.98,1.92,0.64,2.56,3.11,0.13,1.60,,
March,2.38,3.17,0.50,2.02,1.14,0.81,1.28,0.95,1.87,1.13,,
April,2.41,0.76,1.71,0.22,0.18,1.13,0.25,0.98,2.08,0.44,,
May,2.21,0.57,1.79,1.97,4.64,0.47,1.02,2.50,0.67,1.67,,
June,0.97,0.92,1.53,2.61,2.80,1.85,2.02,5.70,2.51,1.26,,
July,1.12,0.66,3.06,2.75,1.05,3.72,2.95,3.75,2.53,3.73,,
August,2.20,1.76,1.57,2.58,1.39,3.96,2.17,3.27,0.52,3.05,,
September,4.16,2.72,2.31,1.29,2.60,-999.00,2.53,4.64,0.01,3.73,,
October,0.60,2.30,2.85,1.98,4.23,2.51,1.87,2.50,1.69,5.46,,
November,3.57,3.87,1.34,3.38,0.62,0.47,2.89,1.66,2.81,3.78,,
December,1.91,2.20,0.76,1.68,1.94,2.28,2.62,3.19,4.20,2.46,,
Total,28.38,21.60,19.60,23.94,25.04,23.16,23.29,34.34,21.13,30.08,,
Calc annual,28.38,21.60,19.60,23.94,25.04,21.59,23.29,34.34,21.13,30.08,,
Difference,-0.00,0.00,0.00,0.00,-0.00,1.57,-0.00,0.00,0.00,-0.00,,
