"JEDBURGH, PLOUGHLANDS",,,,,,,,,,,,
Grid ref,NT690265,Long,-2.492668,Lat,55.531239,,,,,,,
Station no,RR4328,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.04,0.55,2.00,2.17,,
February,,,,,,,1.08,1.00,2.14,1.80,,
March,,,,,,,1.85,1.59,2.97,3.79,,
April,,,,,,,1.14,2.35,1.36,2.63,,
May,,,,,,,5.30,3.60,1.71,1.33,,
June,,,,,,,2.34,3.97,1.70,1.69,,
July,,,,,,,2.10,2.73,2.33,2.12,,
August,,,,,,,5.73,2.99,1.87,1.83,,
September,,,,,,,0.51,0.67,2.18,1.87,,
October,,,,,,,5.86,6.00,1.84,3.32,,
November,,,,,,,2.51,1.67,1.30,0.61,,
December,,,,,,,1.74,2.94,0.52,2.57,,
Total,,,,,,,32.20,30.06,21.92,25.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.20,30.06,21.92,25.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
