"JEDBURGH, PLOUGHLANDS",,,,,,,,,,,,,,,,,,,,
Grid ref,NT690265,Long,-2.492668,Lat,55.531239,Elevation,301,ft,,,,,,,,,,,,
Station no,RR4328,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.04,0.55,2,2.17,2.14,0.94,2.21,2.04,1.68,1.66,2.09,3.09,2.6,2.52
February,,,,,,,1.08,1,2.14,1.8,2.28,1.66,1.84,0.86,1.33,2.71,3.54,0.74,2.01,1.47
March,,,,,,,1.85,1.59,2.97,3.79,0.63,2.22,1.76,2.93,2.2,2,3.61,1.09,0.3,1.46
April,,,,,,,1.14,2.35,1.36,2.63,2.47,1.79,0.19,2.28,0.63,0.72,1.7,2.71,0.66,1.38
May,,,,,,,5.3,3.6,1.71,1.33,1.45,0.91,1.36,1.76,1.46,1.11,3.17,1.99,1.82,1.06
June,,,,,,,2.34,3.97,1.7,1.69,1.17,3.07,4.83,2.28,2.1,1.49,1.98,1.29,0.41,1.04
July,,,,,,,2.1,2.73,2.33,2.12,3.73,0.71,1.97,0.83,1.85,3.19,3.97,1.67,3.46,1.15
August,,,,,,,5.73,2.99,1.87,1.83,3.88,1.25,3.78,2.09,1.54,2.84,4.68,7.32,1.45,
September,,,,,,,0.51,0.67,2.18,1.87,0.68,1.68,2.25,1.97,0.83,1.56,2.09,1.49,5.19,
October,,,,,,,5.86,6,1.84,3.32,2.39,2.57,2.97,2.23,1.07,0.94,2.95,2.85,3.26,
November,,,,,,,2.51,1.67,1.3,0.61,3.31,3.48,1.59,1.36,2.69,1.57,3.17,1.91,1.07,
December,,,,,,,1.74,2.94,0.52,2.57,1.18,3.62,2.13,2.19,3.59,3.9,2.32,1.3,1.39,
Total,,,,,,,32.2,30.06,21.92,25.73,25.31,23.9,26.88,22.82,20.97,23.69,35.27,27.45,23.62,
,,,,,,,,,,,,,,,,,,,,
1916 total arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
