WEYBRIDGE-HEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ079636,Long,-0.4516235,Lat,51.36123,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.14,2.87,0.97,0.91,2.61,0.45,1.97,2.74,0.71,2.04,3.75,3.41,4.04,3.34,1.54,2.22,4.01,2.68,1.19,3.76,0.9,4.83,1.08,2.63,0.34,1.7,1.22,1.95,2.51,1.83,3.8,,1.2,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.09,0.16,1.86,1.52,0.98,1.98,0.6,0.52,0.88,2.02,4.41,1.45,1.08,2.54,1.87,0.97,1.22,1.95,1.52,1.28,1.82,1.59,1.23,3.4,2.46,2.54,1.45,4.1,1.37,2.54,0.66,,1.03,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.55,1.27,1.07,1.4,2.19,2.25,3.81,0.65,2.67,0.73,1.63,2.42,1.49,1.05,2.23,1.31,1.85,1.64,0.49,0.55,3.05,2.28,0.96,0.51,0.52,1.85,0.73,0.93,1.24,1.67,1.8,,2.94,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.51,1.51,2.68,2.49,1.29,0.8,2.13,0.42,1.04,0.43,2.09,2.1,1.65,1.49,0.32,3.78,1.1,0.66,1.69,1.65,1.65,2.8,3.77,3.16,2.04,0.42,3.11,1.63,1.28,1.29,1.88,,1.62,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.22,0.62,1.96,2.21,2.61,1.38,3.48,1.28,1.59,2.67,1.5,1.17,0.9,3.83,0.75,0.36,3.38,1.57,1.11,1.31,0.73,2.28,4.05,3.74,0.28,1.42,1.18,-999,0.56,2.81,4.1,,1.24,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.15,3.75,0.82,2.33,5.23,2.41,2.41,3.54,1,2.54,3.14,1.59,0.65,1.28,0.59,2.99,2.39,1.54,3.54,2.74,1.75,0.56,2.72,4.28,2.56,1.76,2.2,-999,1.77,1.71,0.88,,3.18,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.97,2.01,2.84,1.76,1.88,2.65,1.67,0.83,0.29,2.17,1.04,4.43,2.59,0.9,1.03,3.66,3.63,1.48,1.33,4.53,1.13,3.1,1.32,3.12,4.85,2.44,2.25,-999,1.69,0.25,1.94,,6.51,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.41,3.07,2.45,1.79,3.72,0.5,2.86,1.62,1.06,4.28,2.28,3.23,2.58,1.37,2.19,0.97,1.88,1.89,1.42,0.84,2.72,2.71,4.63,4.84,1.04,4.85,1.4,0.59,1.26,0.95,0.83,,-999,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.99,3.48,1.37,4.78,3.2,1.65,2.03,4.02,2.83,0.37,3.61,2.03,1.92,4.38,1.71,4.27,1.27,2.44,3.01,1.64,2.57,0.97,0.79,2.93,4.6,2.12,2.5,2.67,1.91,4.53,1.57,,-999,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.45,4.94,1.31,2.76,1.68,0.85,3.55,2.53,1.32,6.37,1.13,2.08,2.35,1.76,3.12,1.11,4.45,3.22,4.13,4.39,1.69,2.01,2.33,0.77,6.2,2.13,5.14,2.08,1.3,3.52,2.71,,1.41,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
