PENMON-TROS-YR-AFON,,,,,,,,,,,,,,,,,,,,
Grid ref,SH615791,Long,-4.0792763,Lat,53.290711,Elevation,60,ft,,,,,,,,,,,,
Station no,4405/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.3,4.44,2.95,2.86,4.78,3.41,5.76,5.76,2.01,1.35,,4.65,7.74,3.09,,,,,
February,,0.23,2.23,0.48,4.4,2.13,6.16,0.67,3.13,3.26,2.54,,3.2,1.46,4.76,,,,,
March,,2.16,2.2,2.14,1.11,2.67,2.33,2.13,2.52,1.68,2.35,,1.15,0.95,1.38,,,,,
April,,3.63,0.97,1.82,2.67,1.26,2.85,0.46,1.95,1.71,1.19,,1.22,1.53,1.73,,,,,
May,,3.96,1.04,4.92,2.03,2.25,1.37,2.02,0.63,2.36,1.49,,3.44,2.64,2.34,,,,,
June,,0.51,2.52,2.4,5.26,3.2,1.82,3.62,1.61,0.7,0.19,0.24,4.12,1.71,2.39,,,,,
July,,3.54,1.68,0.67,0.52,4.59,1.63,5.88,4.9,3.07,1.22,2.88,2.67,3.13,2.65,,,,,
August,,1.37,2.23,3.63,2.59,1.74,1.31,2.36,2.18,0.69,2.36,3.68,4,2.39,0.72,,,,,
September,,4.02,1.44,3.93,7.41,3.47,3.17,1.47,1.07,3.36,0.59,4.21,4.49,5.33,4.45,,,,,
October,,5.76,4.98,5.41,8.12,3.6,5.61,8.06,2.46,4.77,2.81,4.33,5.07,4.22,4.69,,,,,
November,,3.47,1.78,2.28,5.6,4.44,1.84,5.2,6.3,4.94,1.4,1.23,3.01,7.3,0.41,,,,,
December,,2.46,1.38,6.26,2.37,6.25,3.24,3.52,3.55,3.84,1.55,4.85,2.16,3.85,4.28,,,,,
Total,,36.41,26.89,36.89,44.94,40.38,34.74,41.15,36.06,32.39,19.04,,39.18,42.25,32.89,,,,,
