CORBRIDGE HOWDEN DENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ001640,Long,-1.99997,Lat,54.970619,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.6,1.49,4.8,1.22,1.74,1.07,2.56,3.58,1.86,0.94,2.67,1.67,0.56,3.07,0.58,1.85,1.78,2.96,1.76,2.63,3.15,1.72,1.94,2.04,3.79,2.42,3.08,3,5.43,2.74,0.86,1.78,2.6,1.9,1.38,2.95,1.79,3.54,2.2,1.27,1.61,1.98,2.31,4.03,3.16,1.87,3.87,1.58
February,,,,3.43,3.63,1.86,0.75,1.27,1.3,0.93,5.12,1.22,1.3,2.66,2.01,1.27,1.1,1.24,2.23,2.2,3.45,1.16,2.35,0.81,1.55,2.25,3.84,0.88,2.07,1.68,1.55,0.08,2.36,3.71,0.92,3.19,2.69,0.42,1.9,1.19,1.68,1.83,0.65,4.49,0.29,3.71,3.03,3.51,1.02,1.09,1.97
March,,,1.37,0.62,0.9,3.21,2.93,3.22,1.46,1.14,1.08,1.82,1.19,2.08,2.04,1.77,1.55,1.54,3.62,4.45,0.45,3.23,1.74,3.78,2.16,1.9,3.59,1.8,1.03,2.82,2.81,1.02,1.6,1.11,0.87,2.14,1.24,2.32,2.97,0.07,2.03,1.34,1.96,1.16,3.55,0.72,2.47,3.1,0.53,3.84,2.52
April,,,1.15,0.58,1.41,1.25,1.29,1.15,2.29,2.61,1.42,1.08,1.32,1.31,1.67,3.51,1.67,2.62,2.93,1.98,2.43,1.92,0.42,2.7,0.79,0.6,1.55,2.98,1.2,1.87,2.68,0.93,2.31,1.96,1.37,2.79,1.41,2.21,0.74,1.85,1.91,3.42,2,1.51,4.01,2.42,1.51,2.2,0.37,1.35,1.38
May,,,4.49,2.65,2.99,0.43,0.84,1.3,1.92,3.5,1.21,1.75,1.88,2.16,2.66,0.87,4,3.59,1.94,1.67,2.12,0.97,2.88,2,1.29,2.1,3.05,2.97,1.92,1.25,4.21,1.59,0.79,2.37,5.11,3.27,2.65,1.64,1.54,1,1.22,3.39,2.22,1.81,1.32,0.9,1.71,2.69,2.64,1.33,1.07
June,,,3.1,1.06,4.42,1.66,2.16,3.9,1.91,0.91,3.73,1.54,2.23,2.56,2.05,1.08,1.65,2.98,0.49,2.64,2,4.04,4.41,1.44,2.94,0.71,1.78,1.79,0.85,1,1.58,0.53,1.51,0.96,1.5,0.11,3.93,3.32,3.45,1.31,0.9,4.61,1.38,2.39,2.89,2.82,2.58,1.06,3.69,2.02,0.4
July,,,1.93,2.6,2.42,4.86,4.11,1.37,0.81,2.52,1.6,2.22,2.37,4.79,1.01,1.73,1.77,1.96,2.92,2.25,3.48,1,2.86,1.8,2.36,2.8,3.03,0.86,3.12,2.02,2.6,1.53,4.95,1.91,3.75,1.13,3.45,3.45,1.26,3.28,5.88,3.89,3.71,1.66,3.92,0.69,2.63,2.65,2.2,3.32,6.72
August,,,3.99,2.61,3.14,3.18,1.83,2.46,2.77,0.88,4.73,2.07,1.91,2.73,2.44,4.17,4.38,2.22,2.02,3.03,3.34,1.99,5.85,1.86,2.18,2.91,3.75,6.52,2.87,2.51,1.2,5.76,1.85,5.05,2.27,3.61,2.74,6.35,3.45,3.08,5.89,3.98,2.31,1.52,3.15,2.47,1.97,2.98,2.36,2.98,1.02
September,,,2.66,1.96,1.36,0.74,2.82,2.58,0.47,2.41,1.06,0.9,1.61,3.15,1.39,2.06,0.8,0.62,2.21,1.76,0.6,3.11,2.13,4,1.37,1.69,1.66,1.49,5.12,1.15,1.61,1.55,4.31,1.77,2.53,3.57,3.22,4.61,1.07,1.16,2.57,1.14,3.36,2.13,1.58,3.11,3.08,1.38,1.84,0.73,1.62
October,,,3.44,1.23,4.19,3.93,4.16,1.37,4.83,1.45,5.17,3.1,2.85,7.51,0.65,2.02,3.79,5.79,2.26,2.1,2.89,2.94,3.2,3.57,2.02,0.81,3.41,2.53,2.75,4.34,2.25,2.29,1.03,2.02,3.2,1.97,2.75,1.64,3.57,1.91,2.24,1.16,3.57,3.44,3.53,4.49,2.44,1.97,4.32,4.79,2.68
