HAWICK BORTHWICK BRAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT412135,Long,-2.9294,Lat,55.412,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,3.8,5,8.5,2.9,2.4,9,14.7,9.2,6.2,3.4,3.1,9.1,8.2,4,7.6,4.5,8.6,6,1.4,1.8,1.9,3.3,5.2,8.7,4.1,5.5,2.9,,
February,,6.6,1.5,3.1,2.5,4.7,7.9,2.3,5.4,5.5,3.5,3.9,3.6,1.9,2.4,1.5,4.3,3.7,2.1,3.5,4.5,2.2,5.6,4.5,6.3,6.3,2.4,1.9,,
March,,3.6,5.8,1.6,7.4,2,1.6,3.2,5.5,2,1.2,2.5,3.7,2,3.3,1.9,5.7,2.5,1.1,3,2.4,2.4,5.2,3.5,2.9,2.6,4.8,2.4,,
April,,1.7,3.9,4.2,1,0.9,2.6,4.6,4.6,1.8,1.3,4.9,3.3,0.9,2.5,1.1,4.7,3.7,2.7,1.8,2.8,1.3,3.2,2.4,2.1,3.4,2.2,1.4,,
May,,0.4,3.4,2.7,1.5,7,1.6,2.8,2,3.1,3.2,0.7,4,1.9,1.6,1.8,1,3.2,4.8,1.9,1,1.8,1.6,2.4,2.4,2.9,5.2,1.4,,
June,,2.5,5.4,6.1,1.9,0.3,1.9,1.8,1.9,1.1,1.7,2.9,4.3,1.5,1.8,2.7,2.9,2,2.9,2.9,1.2,3.5,4.3,2.4,0.5,0.5,1.9,0.6,,
July,,5.9,3.1,0.7,1.5,2.2,4.3,5.5,0.5,1.2,2,3.9,3.8,5.1,2.4,3.2,1.7,4.2,0.68,4.8,4.1,2.9,4.6,4.1,5.8,1.9,3.9,3.1,,
August,,5,4.7,4.1,1.1,3.5,4.6,3.3,5.3,1.2,1.3,2.3,3.9,3.4,7.2,2.2,5,7.7,5.7,5.7,1.3,6,2.2,3.6,0.9,1.8,1.6,1.1,,
September,,4.4,2.7,6.2,5,1.8,4.6,2.5,4.4,7.9,3.4,2.5,5.3,3.3,4,5.9,3.1,3.4,4,3.1,3.6,3,2.1,4.8,4.1,4.5,4.6,5.5,,
October,6,1.8,9.2,3.7,8.6,6,2.4,3.5,4.2,1.9,5.2,3,6,6.2,8.9,3.4,4.2,5.5,2,1.9,2,2.5,3.3,5.6,2.1,3.4,5.3,1.4,,
November,1.9,8,1.2,4.4,3.7,3.3,4.7,0.5,2.3,3.6,1.5,2.5,6.4,3.7,5.4,4.6,3.8,6.3,4.3,1.9,8,6.6,4.7,4.6,2.3,2.1,5.8,5.3,,
December,3.2,4.3,5.2,3.7,4.6,4,5.4,2.9,8.6,8.6,1.7,5.6,6.6,2.8,4.1,5,8.2,3.3,4,3.3,3.4,4.7,7.3,2.5,5.2,2.2,3.3,3.6,,
Total,,48,51.1,49,41.7,38.1,50.6,47.6,53.9,44.1,29.4,37.8,60,40.9,47.6,40.9,49.1,54.1,40.28,35.2,36.1,38.8,47.4,45.6,43.3,35.7,46.5,30.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt1-page-048.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_11_pt1-page-054.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-061.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
