HAYWARDS-HEATH-ABBOTS-LEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ351227,Long,-0.076523,Lat,50.987856,Elevation,250,ft,,,,,,,,,,,,
Station no,510/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.04,3.96,2.37,0.76,2.34,0.74,3.34,3.57,0.97,1.06,2.61,5.16,1.43,5.16,1.29,1.84,
February,,,,3.29,1.8,0.27,0.25,3.02,1.42,3.1,5.59,2.21,1.45,1.58,4.14,0.76,3.07,1.61,1.14,
March,,,,0.51,1.41,1.76,2.41,5.09,1.29,1,0.83,1.91,1.83,2.86,1.22,4.29,1.79,0.99,2.78,
April,,,,0.05,2.54,2.5,0.6,1.93,1.09,3.25,0.94,2.45,1.03,2.24,1.59,2.32,0.93,3.48,,
May,,,,0.67,1.39,0.12,0.25,1.16,3.77,1.75,0.68,1.32,2.44,2.86,3.78,0.63,2.38,2.61,,
June,,,,2.44,1.99,0.38,2.35,2.09,2.5,2.9,2.93,1.64,3.53,4.33,1.08,4.66,2.26,1.99,,
July,,,,3.48,5.21,3.8,2.57,0.5,0.62,2.62,0.84,1.81,1.69,4.31,1.09,0.54,1.2,0.99,,
August,,,,0.55,2.37,2.81,1.53,3.78,1.44,0.72,1.74,1.81,4.18,4.05,1.53,2.71,1.58,2.19,,
September,,,,3.05,3.08,0.29,5.81,2.82,0.68,3.38,0.97,1.78,0.54,3.41,2.15,3.13,1.1,0.78,,
October,,,,4.26,4.33,4.73,3.96,0.34,3.8,1.95,1.99,3.26,2.07,7.21,2.14,2.16,5.65,4.95,,
November,,,,2.08,5.28,5.16,1.29,1.71,3.77,5.55,3.51,0.71,3.47,2.03,1.52,5.96,6.57,2.1,,
December,,,,2.18,2.09,3.43,4.7,4.28,2.86,1.69,3.49,5.08,2,2.43,3.46,0.75,2.26,3.41,,
Total,,,,24.6,35.45,27.62,26.48,,23.98,,27.08,24.95,25.29,39.92,28.86,29.34,33.95,26.39,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
