"HAYWARDS HEATH, ABBOTS LEIGH",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,510/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.57,0.97,1.06,2.61,5.16,1.43,5.16,1.29,1.84,,,
February,5.59,2.21,1.45,1.58,4.14,0.76,3.07,1.61,1.14,,,
March,0.83,1.91,1.83,2.86,1.22,4.29,1.79,0.99,2.78,,,
April,0.94,2.45,1.03,2.24,1.59,2.32,0.93,3.48,,,,
May,0.68,1.32,2.44,2.86,3.78,0.63,2.38,2.61,,,,
June,2.93,1.64,3.53,4.33,1.08,4.66,2.26,1.99,,,,
July,0.84,1.81,1.69,4.31,1.09,0.54,1.20,0.99,,,,
August,1.74,1.81,4.18,4.05,1.53,2.71,1.58,2.19,,,,
September,0.97,1.78,0.54,3.41,2.15,3.13,1.10,0.78,,,,
October,1.99,3.26,2.07,7.21,2.14,2.16,5.65,4.95,,,,
November,3.51,0.71,3.47,2.03,1.52,5.96,6.57,2.10,,,,
December,3.49,5.08,2.00,2.43,3.46,0.75,2.26,3.41,,,,
Total,27.08,24.95,25.29,39.92,28.86,29.34,33.95,26.39,,,,
Calc annual,27.08,24.95,25.29,39.92,28.86,29.34,33.95,26.39,5.76,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
