HAYWARDS-HEATH-ABBOTS-LEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ351227,Long,-0.076523,Lat,50.987856,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,510/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.38,2.26,2.81,0.86,4.77,6.3,3.33,5.75,2.73,3.12,3.05,5.75,2.51,1.74,2.69,2.54,6.2,1.38,1.07,3.76,2.94,1.41,1.34,3.89,,,,,
February,,0.49,2.38,0.19,4.65,2.18,5.29,1.06,1.69,3.34,3.7,0.62,1.56,0.92,2.03,3.05,2.6,1.67,1.65,5.84,6.77,1.08,1.4,2.4,1.91,,,,,
March,,1.59,2.98,2.81,0.61,1.58,4.17,0.68,1.42,3.11,2.81,3.09,0.33,0.07,1.51,1.41,6.94,1.15,1.02,1.66,3.85,3.53,0.41,3.8,1.17,,,,,
April,,2.31,0.74,2.59,3.11,2.14,2.92,0.38,2.87,1.37,1.61,1.41,1.51,1.74,1.01,1.75,2.02,1.74,1.37,2.13,3.06,1.97,2.71,0.48,0.32,,,,,
May,,3.39,1.8,0.48,1.39,0.22,2.58,2.66,1.85,2.54,1.85,3.59,2.4,0.88,2.36,2.68,1.34,2.71,1.58,0.9,2.26,2.08,1.93,1.46,5.3,,,,,
June,,0.6,2.45,1.35,2.51,3.88,1.47,0.6,1.45,0.16,1.78,0.52,1.17,1.35,2.19,3.21,2.46,3.33,0.87,1.16,2.38,1.11,2,4.26,1.96,,,,,
July,,0.32,1.77,2.08,0.64,4.33,1.15,1.77,2.96,3.56,2.02,2.47,2.26,2.81,5.51,1.73,2.21,2.3,0.2,2.99,2.82,0.87,3.48,4.33,0.52,,,,,
August,,4.56,1.26,2.19,4.6,0.38,1.63,1.97,2.15,0.03,3.3,3.39,1.15,2.23,2.09,6.4,0.56,5.01,1.64,2.23,5.7,2.9,2.54,3.65,0.6,,,,,
September,,3.04,2.97,1.65,4.73,2.72,2.43,2.7,0.68,1.69,0.46,2.4,1.58,3.06,2.05,3.72,2.04,2.01,1.64,4.98,3.46,3.13,3.91,3.29,3.06,,,,,
October,,7.63,1.85,2.3,4.68,1.43,2.84,4.22,6.47,2.68,0.93,3.39,3.01,4.95,3.53,1.34,0.56,2.03,8.38,0.5,1.59,3.87,4.31,2.38,5.01,,,,,
November,,1.16,1.18,4.86,7.74,5.56,2.04,3.53,6.55,8.36,3.86,1.84,1.63,4.82,0.18,5.74,1.66,1.96,4.23,7.64,6.5,4.6,1.76,7.53,1.68,,,,,
December,,0.9,0.81,7.73,4.51,3.12,3.62,3.64,1.74,2.36,1.88,2.65,2.21,2.62,4.53,3.73,2.51,4.31,1.62,2.02,3.67,3.18,0.97,2.8,3.22,,,,,
Total,,29.37,22.45,31.04,40.03,32.31,36.44,26.54,35.58,31.93,27.32,28.42,24.56,27.96,28.73,37.45,27.44,34.42,25.58,33.12,45.82,31.26,26.83,37.72,28.64,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
