"BRADFORD (LISTER PARK)",,,,,,,,,,,,
Grid ref,SE149352,Long,-1.775193,Lat,53.812875,,,,,,,
Station no,3266,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,3.99,0.45,2.78,1.82,4.66,2.37,3.62,2.99,5.22,,
February,3.36,0.74,2.39,3.16,2.34,1.33,3.38,5.60,0.17,2.68,,
March,3.60,2.05,1.33,2.23,2.59,1.14,2.18,1.93,1.51,1.94,,
April,1.68,1.71,2.43,0.44,0.89,2.83,0.25,0.77,3.64,1.50,,
May,4.59,1.66,1.59,3.01,2.58,1.04,1.40,4.04,1.19,1.36,,
June,0.94,1.73,2.96,1.66,1.84,2.18,1.65,4.82,2.06,1.18,,
July,2.75,1.36,2.91,1.79,1.02,4.55,2.83,3.97,1.96,4.36,,
August,5.04,3.80,2.90,7.50,0.82,6.75,5.15,2.90,0.52,4.31,,
September,2.18,2.78,2.86,3.58,1.33,3.44,4.25,3.33,0.14,3.11,,
October,1.38,4.25,2.16,5.22,2.16,1.79,3.17,2.95,3.74,5.19,,
November,7.44,1.51,3.47,5.72,2.59,1.15,2.03,0.75,4.47,6.55,,
December,5.15,3.00,1.74,3.87,4.44,3.94,3.60,4.38,6.34,4.02,,
Total,41.42,28.58,27.19,40.96,24.42,34.80,32.26,39.06,28.73,41.42,,
Calc annual,41.42,28.58,27.19,40.96,24.42,34.80,32.26,39.06,28.73,41.42,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
