ORMSKIRK AUGHTON SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD 393 065,Long,-2.917081,Lat,53.551861,Elevation,150,ft,,,,,,,,,,,,,,,,
Station no,RR200,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912
January,0.94,3.39,1.55,3.21,0.76,2,2.49,0.87,1.08,2.31,3.92,4.01,2.26,2.43,2.33,2.87,1.4,4.25,1.2,2.16,2.29,3.5,0.8,4.55
February,1.97,0.51,0.12,2.22,3.15,3.86,0.14,1.19,2.37,1.94,1.33,3.54,1.6,1.85,2.34,4.29,1.37,2.88,1.59,2.96,1.03,3.06,2.43,1.77
March,2.02,2.31,1.04,1.28,0.89,1.96,2.62,3.37,2.62,1.08,1.59,1.01,1.66,2.24,2.93,1.9,2.93,2.21,2.32,2.71,2.59,0.75,1.06,4.79
April,3.09,1.64,2.07,1.56,0.21,1.32,1.67,1.34,2.59,1.67,2.89,1.33,1.38,1.59,1.76,1.47,2.39,0.94,1.17,2.29,3.01,2.24,2.67,0.39
May,2.59,1.93,2.51,2.63,1.23,2.72,0.87,0.52,1.39,4,2.51,1.72,1.17,4.28,3.26,1.91,0.37,2.86,3.1,2.51,1.52,2.96,1.14,2.19
June,0.55,2.38,3.39,2.76,1.46,2.82,1.65,2.26,4.58,1.93,2.33,2.55,1.77,1.7,2.09,1.42,2.06,1.27,5.78,1.65,2.85,3.01,2.71,3.82
July,3.07,2.74,4.12,2.71,3.14,2.31,4.09,2.7,1.21,0.42,1.67,1,1.51,2.63,1.86,1.27,2.13,1.25,1.84,3.74,5.96,5.1,0.36,3.75
August,4.07,3.56,7.18,3.85,2.21,3.85,3.25,2.86,5.88,5.02,1.04,5.91,2.65,2.2,4.63,4.3,3.03,3.06,3.75,3.6,3.85,4.25,3.23,5.52
September,2.65,2.56,3.36,3.51,4.82,0.79,1.12,5.5,4.28,1.42,4.2,1.18,1.05,1.44,5,2.28,2.04,2.2,0.74,3.42,2.92,0.68,4.71,1.38
October,2.61,2.44,3.62,6.35,2.93,3.61,5.11,5.05,1.92,3.81,2.97,4.2,3.17,3.19,6.95,2.14,2.92,5.69,3.51,2.63,4.51,3.41,2.42,4.06
November,2.06,6.54,4.08,2.25,1.76,2.85,2.79,1.61,3.92,2.73,1.23,3.14,3.74,1.9,3.75,2.13,4.76,1.95,3.04,2.81,1.61,5.21,2.62,2.39
December,3.12,0.52,5.08,2.4,3.89,2.74,2.88,4.05,3.39,2.21,2.98,3.69,4.06,2.36,1.75,2.89,0.69,3.73,2.95,3.07,6.7,2.87,4.67,2.49
Total,28.74,30.52,38.12,34.73,26.45,30.83,28.68,31.32,35.23,28.54,28.66,33.28,26.02,27.81,38.65,28.87,26.09,32.29,30.99,33.55,38.84,37.04,28.82,37.1
,,,,,,,,,,,,,,,,,,,,,,,,
Old Gauge was used for,,,,,,,,,,,,,,,,,,,,,,,,
Jan-Apr 1899,,,,,,,,,,,,,,,,,,,,,,,,
