ORMSKIRK AUGHTON SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD 393 065,Long,-2.917081,Lat,53.551861,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.98,0.09,0.54,2.19,2.8,2.28,2.75,1.79,1.09,4.21,3.24,2.3,3.34,1.08,5.36,3.15,2.06,0.62,0.74,2.36,3.6,3.35,1.75,3.94,2.32,1.62,0.86,3.39,1.55,3.21,0.76,2,2.49,0.87,1.08,2.31,3.92
February,,,,1.23,2.38,2.34,1.91,1.51,1.34,2.16,0.52,1.91,2.95,0.61,1.29,1.48,2.85,3.59,1.2,2.38,1.37,4.32,1.38,1.65,2.18,2.69,1.33,0.78,0.84,1.95,0.51,0.12,2.22,3.15,3.86,0.14,1.19,2.37,1.94,1.33
March,,,,1.02,2.78,1.4,1.62,1,2.8,1.46,1.6,0.66,1.99,2.85,2.72,0.69,2.57,1.91,1.21,1.02,1.97,3.08,2.69,1.03,2.25,2.3,1.91,1.89,2.48,1.97,2.31,1.04,1.28,0.89,1.96,2.62,3.37,2.62,1.08,1.59
April,,,,0.95,1.79,1.88,1.45,2.05,1.34,1.78,1.27,1.86,2.19,0.59,1.33,0.54,2.29,2.88,1.22,2.04,1.04,1.19,3.45,1.18,1.3,1.44,1.59,0.85,1.47,3,1.64,2.07,1.56,0.21,1.32,1.67,1.34,2.59,1.67,2.89
May,,,,1.96,1.92,2.52,0.8,1.24,1.64,3.16,1.08,1.29,2.32,1.35,1.54,1.93,0.51,2.5,3.49,1.92,2.28,2.76,1.12,0.89,1.39,1.34,4.46,1.88,0.4,2.47,1.93,2.51,2.63,1.23,2.72,0.87,0.52,1.39,4,2.51
June,,,,3.87,2.44,0.79,3.35,0.77,0.58,1.23,1.27,1.7,5.63,1.24,0.89,2.54,2.33,1.1,2.79,3.53,2.44,2.41,4.29,2.45,1.4,1.72,1.22,0.9,1.96,0.52,2.38,3.39,2.76,1.46,2.82,1.65,2.26,4.58,1.93,2.33
July,,,,1.72,0.5,1.85,1.38,3.48,0,1.01,0.48,3.55,5.49,3.67,1.8,4.88,2.76,5.26,0.12,4.43,5.62,3.31,5.66,3.09,3.07,1.86,3.87,1.11,5.74,2.89,2.74,4.12,2.71,3.14,2.31,4.09,2.7,1.21,0.42,1.67
August,,,,3.48,1.13,5.08,4.45,0.99,2.91,0.9,2.04,1.23,2.12,3.34,2.9,1.5,3,4.53,4.36,5.74,1.6,5.6,3.55,2.64,1.8,2.15,2.13,2.21,3.25,3.83,3.56,7.18,3.85,2.21,3.85,3.25,2.86,5.88,5.02,1.04
September,,,,4.09,3.88,0.59,6.05,2.16,1.38,6.2,2.19,3.5,5.47,1.84,2.56,4.45,4.49,3.29,3.82,2.77,3.34,2.4,2.62,4.37,1.71,4.04,4.36,3.47,0.95,2.53,2.56,3.36,3.51,4.82,0.79,1.12,5.5,4.28,1.42,4.2
October,,,2.52,7.29,1.94,2.07,2.39,4.64,4.8,2.64,5.86,4.62,4.83,3.01,3.66,4.84,2.4,4.35,3.8,2.32,3.76,2.66,3.06,4.78,1.6,5.35,3.7,2.74,2.03,2.42,2.44,3.62,6.35,2.93,3.61,5.11,5.05,1.92,3.81,2.97
November,,,3.69,3.43,2.74,3.02,4.56,2.72,1.74,2.95,2.55,1.54,2.36,1.32,3.51,3.02,4.22,5.34,2.4,0.5,3.58,2.89,4.3,3.28,1.62,2.82,2.26,1.17,4.19,1.98,6.54,4.08,2.25,1.76,2.85,2.79,1.61,3.92,2.73,1.23
December,,,2.61,2.46,3.85,2.17,2.23,2.17,5.68,2.24,1.9,1.71,2.84,0.96,2.61,1,4.09,3.24,2.49,2.15,5.48,2.78,3.47,1.52,2.84,1.89,3.92,2.26,1.6,2.9,0.52,5.08,2.4,3.89,2.74,2.88,4.05,3.39,2.21,2.98
Total,,,,34.48,25.44,24.25,32.38,25.53,26.49,28.48,22.55,24.66,42.4,24.02,27.11,30.21,32.59,43.35,30.05,30.86,33.1,34.14,37.95,30.48,24.51,29.35,34.69,21.58,26.53,27.32,30.52,38.12,34.73,26.45,30.83,28.68,31.32,35.23,28.54,28.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved from West Derby Liverpool in Oct 1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
