BRIDGWATER-WEMBDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST284377,Long,-3.024698,Lat,51.134079,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2082/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.3,3.7,2.98,5.54,1.56,2.87,1.97,2.73,5.12,0.65,0.49,2.95,2.62,0.37,2.3,4.55,3.3,2.64,2.35,3.65,3.16
February,,,,,,,,,,2,2.48,0.3,1.09,0.72,1.81,1.67,1.29,0.88,1.22,4.5,3.38,0.96,1.32,2.67,2.49,0.18,3.74,2.81,0.23,2.89
March,,,,,,,,,,2.01,2.95,1.81,1.25,0.22,0.54,0.81,5.86,0.92,1.34,0.69,3.42,2.25,0.49,3.66,1.17,0.76,1.95,0.71,3.2,1.8
April,,,,,,,,,,2.22,2.63,0.91,0.8,1.95,0.62,3.28,2.26,1.27,1.29,2.17,3.52,1.97,3.06,0.18,1.03,1.47,0.01,0.55,2.91,2.33
May,,,,,,,,,,2.43,1.71,5.39,1.87,2.66,4.13,5.03,2.46,3.24,2.01,1.91,2.8,3.45,1.77,1.85,3.68,0.49,1.37,2.77,0.95,1.04
June,,,,,,,,,,0.63,1.63,0.67,1.21,1.98,2.46,2.28,1.51,1.67,0.33,1.17,0.7,2.04,2.35,2.74,2.49,1.38,3.09,2.97,1.01,1.31
July,,,,,,,,,,3.81,2.19,1.15,2.04,1.65,2.45,1.81,1.58,2.31,1.6,3.63,2.19,0.46,2.11,3.04,1.8,1.92,2.63,2.3,1.88,5.66
August,,,,,,,,,,0.06,3.44,3.94,3.07,1.99,2.12,4.36,1.22,3.68,1.33,4.78,4.15,4.55,3.01,2.33,0.71,3.29,2.79,2.53,0.94,3.2
September,,,,,,,,,,1.78,1.33,1.71,2.57,2.4,1.76,3.01,1.29,1.2,2.77,3.82,2.43,2.84,2.8,3.16,0.99,3.93,3.44,4.09,0.11,2.83
October,,,,,,,,,,3.94,1.63,2.37,2.66,3.47,3.36,1.1,0.64,3.14,5.01,1.89,1.29,3.81,2.77,2.48,1.37,2.12,2.11,1.88,3.34,9.86
November,,,,,,,,,,5.82,2.61,1.32,2.21,5.38,0.83,4.41,1.84,1.37,4.36,6.06,6.1,4.46,2.31,5.83,3.38,0.65,2.09,2.51,4.82,3.1
December,,,,,,,,,,2.63,1.86,2.95,2.12,3.11,4.37,2.87,2.25,3.93,1.52,2.17,2.13,2.32,0.8,3.03,4.45,3.82,2.08,4.09,5.85,3.15
Total,,,,,,,,,,29.63,28.16,25.5,26.43,27.09,27.32,32.6,24.93,28.73,23.43,33.28,35.06,31.73,23.16,33.27,28.11,23.31,27.94,29.56,28.89,40.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown so NGR taken from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Wembdon SRC_ID 9258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
