"HYSKEIR",,,,,,,,,,,,
Grid ref,NM155961,Long,-6.682916,Lat,56.968280,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.13,3.51,3.87,2.28,,
February,,,,,,3.83,3.95,3.52,1.65,0.84,,
March,,,,,,4.53,2.36,2.34,2.59,0.58,,
April,,,,,,2.60,2.64,1.24,0.30,2.18,,
May,,,,,,0.83,3.59,2.07,2.43,1.72,,
June,,,,,,0.98,1.22,2.39,2.72,0.77,,
July,,,,,,2.66,2.68,2.13,2.14,1.68,,
August,,,,,,3.69,3.58,4.19,2.86,1.54,,
September,,,,,,3.08,2.89,1.05,6.92,1.58,,
October,,,,,,2.88,4.52,2.31,1.75,2.59,,
November,,,,,,4.24,4.37,3.62,3.01,1.28,,
December,,,,,,2.94,4.66,1.81,3.59,2.52,,
Total,,,,,,,40.59,30.18,33.83,19.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,32.26,40.59,30.18,33.83,19.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
