FARNBOROUGH-BERKS-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU435820,Long,-1.3742391,Lat,51.535235,Elevation,713,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.57,1.9,0.78,3.97,2.97,1.45,0.97,3.73,4.45,0.55,4.98,0.97,1.76,1,2.7,1.24,5.24,5.22,1.44,5.71,,,,
February,,,,,,,0.43,3.32,1.93,2.05,4.15,1.24,1.48,1.59,4.3,0.7,2.37,1.74,1.27,0.77,3.67,2.13,3.59,1.68,5.31,5.71,,,,
March,,,,,,,2.82,3.77,1.17,0.27,0.98,2.02,1.9,4.42,1.6,4.37,1.65,1.38,3.29,3.88,1.07,2.16,6.67,4.77,6.72,1.13,,,,
April,,,,,,,0.85,1.9,1.61,2.64,1.11,2.68,1.91,3,1.26,2.56,0.69,3.34,5.22,2,2.55,1.19,0.18,5.28,1.4,1.35,,,,
May,,,,,,,0.4,1.05,3.07,2.31,1.65,1.44,2.75,3.74,3.24,0.77,1.98,2.65,2.37,1.73,1.88,1.44,2.17,3.69,2.37,3.91,,,,
June,,,,,,,0.97,2.77,2.76,1.3,3.58,1.55,3.21,7.32,1.27,4.99,3,3.11,1.24,4.33,6.03,1.98,4.2,0.69,2.52,1.58,,,,
July,,,,,,,0.97,0.94,0.65,0.91,0.82,2.6,1.46,3.25,2.63,1.48,0.61,2.42,2.98,2.27,2.02,0.03,3.03,2.85,3.64,3.83,,,,
August,,,,,,,2.73,3.26,1.15,1.78,3.02,2.07,2.69,4.64,3,3.3,1.22,1.76,4.29,3.67,2.49,1.9,6.33,1.61,2.85,2.93,,,,
September,,,,,,,6.1,3.86,0.97,1.93,0.55,2.4,1.89,2.29,1.93,1.8,0.9,0.89,2.53,3.31,0.36,1.07,1.96,2.78,1.57,2.67,,,,
October,,,,,,,3.24,1.55,4.83,2.66,2.3,1.3,1.99,9.22,1.36,2.06,5.13,6.7,1.45,4.84,4.54,2.01,4.91,6.16,5.19,4,,,,
November,,,,,,,0.69,0.5,3.47,3.22,3.13,0.65,4.61,2.1,1.99,3.89,5.93,2.72,1.53,0.96,3.46,3.4,3.57,4.41,6.18,2.57,,,,
December,,,,,,,4.45,3.77,2.51,2.49,4.48,4.89,2.19,2.12,2.82,1.21,2.91,5.4,2.93,4.73,5.12,9.03,5.24,1.68,10.5,6.44,,,,
Total,,,,,,,24.22,28.59,24.9,25.53,28.74,24.29,27.05,47.42,29.85,27.68,31.37,33.08,30.86,33.49,35.89,27.58,47.09,40.82,49.69,41.83,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the rectory in Farnborough. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
