MARKET RASEN - 12 KING STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF105892,Long,-0.340,Lat,53.388,Elevation,84,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,3.13,1.91,0.82,1.50,2.62,1.62,1.04,2.05,2.01,4.39,1.06,1.96,1.02,2.19,3.21,0.97,0.90,1.85,1.67,0.63,2.73,1.11,1.34,0.90,2.26,1.72,2.58,2.92,1.07,2.36,0.86,2.60,1.66
February,0.32,0.56,1.97,2.19,0.99,0.09,2.07,3.45,1.80,0.37,0.65,2.47,1.09,1.17,3.69,2.18,1.17,0.59,2.55,0.75,2.25,1.83,2.11,1.20,2.52,1.20,1.10,0.77,0.74,2.96,3.69,0.71,1.72
March,3.05,1.47,2.46,4.44,1.95,1.48,1.97,0.28,0.77,2.16,1.98,2.20,1.88,1.08,0.51,2.41,1.56,3.02,1.79,2.32,2.14,1.31,2.20,3.18,0.66,1.92,2.86,2.70,1.70,0.91,4.23,1.67,0.45
April,1.55,1.39,1.96,2.38,0.36,1.54,1.36,0.18,1.27,1.46,0.85,1.28,2.92,2.70,1.45,1.64,1.70,1.31,0.99,1.69,0.83,1.76,3.39,1.78,2.02,1.34,0.19,2.18,0.85,0.71,1.38,2.21,
May,4.14,1.35,0.86,2.78,2.07,2.95,3.35,1.40,1.51,1.05,0.71,1.41,1.80,2.74,1.40,0.80,2.83,2.11,1.60,0.92,1.61,2.94,2.56,0.85,2.79,0.89,2.32,1.89,2.16,1.66,2.68,1.08,2.22
June,0.73,0.07,1.28,0.61,2.80,1.68,3.55,1.32,2.45,1.57,4.41,1.72,1.17,1.53,2.19,1.37,2.28,1.30,0.30,1.28,1.55,3.01,1.42,2.30,2.67,3.42,4.84,0.67,2.13,0.33,2.98,1.02,0.55
July,2.78,1.10,6.25,1.41,3.53,3.03,2.55,2.48,3.31,5.11,2.51,0.30,0.56,1.45,2.09,2.81,1.71,2.44,3.37,1.32,1.16,1.88,3.27,4.44,2.95,0.33,3.92,0.31,2.35,4.91,0.78,0.23,
August,2.04,1.80,2.35,3.54,2.33,3.56,1.83,1.56,2.48,3.00,1.80,3.45,2.83,0.47,3.57,3.89,1.94,5.81,5.62,3.32,2.19,2.41,2.20,4.07,4.28,1.69,5.31,1.29,1.39,2.68,3.21,5.12,
September,1.09,3.18,2.61,1.89,0.96,0.96,1.37,1.20,0.75,0.48,3.97,3.65,0.45,2.68,1.13,0.92,0.53,3.57,2.27,1.79,1.00,0.51,1.96,1.42,0.40,1.99,1.40,1.15,0.71,0.86,1.37,0.80,
October,4.20,2.29,0.54,5.50,0.76,4.53,4.96,1.02,3.76,2.51,5.48,0.79,2.42,2.79,2.28,1.89,2.75,5.45,0.69,2.44,4.36,4.47,0.93,3.57,1.98,2.45,2.62,2.43,2.08,1.13,2.07,2.92,
November,1.89,1.47,3.05,0.63,3.41,3.13,1.30,3.37,1.92,2.55,1.46,2.53,2.14,1.10,2.15,2.36,1.29,2.26,1.07,3.12,3.85,2.13,1.26,0.39,3.09,2.94,3.66,2.06,2.01,2.43,2.71,1.58,
December,3.61,1.42,1.76,1.46,0.88,2.62,0.90,2.02,2.38,2.06,3.98,1.88,2.29,2.38,3.52,6.03,1.86,0.75,1.76,0.51,2.47,2.16,1.51,4.22,3.52,4.12,3.02,0.77,4.94,3.99,2.41,1.23,
Total,28.53,18.01,25.91,28.33,22.66,27.19,26.25,20.33,24.41,26.71,28.86,23.64,20.57,22.28,27.19,27.27,20.52,30.46,23.68,20.09,26.14,25.52,24.15,28.32,29.14,24.01,33.82,19.14,22.13,24.93,28.37,21.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The observer Mr Jevons lived at 12 King Street.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IDR 1887 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
