DORKING-PIXHAM-LANE-S-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ177505,Long,-0.31524,Lat,51.2415,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,113/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.29,1.13,6.17,6.23,3.45,6.35,2.38,2.54,3.28,6.49,2.13,2.09,2.93,2.2,4.65,1.13,1.02,4.46,3,1.53,1.44,3.1,4.67,2.04,3.23,2.91,3.38
February,,,,0.32,3.98,2.22,4.98,0.73,1.9,2.7,3.11,0.66,1.99,0.87,2.17,2.49,1.51,1.8,1.72,5.94,7.36,0.88,1.71,2.35,1.81,0.32,4.07,2.64,0.04,2.34
March,,,,2.58,0.59,1.78,4.07,0.28,1.62,3.4,3.79,1.83,0.47,0.14,1.44,1.37,5.96,0.92,1.77,1.79,4.34,3.16,0.46,2.62,1.54,0.84,1.36,2,2.94,1.6
April,,,,2.77,3.44,1.84,2.96,0.13,3.4,1.95,1.71,2.12,1.23,1.77,1.26,2.61,2.38,2.41,1.83,3.15,3.23,1.68,2.7,0.33,0.23,1.6,0.29,1.08,2.77,0.8
May,,,,0.6,1.43,0.48,2.46,1.61,1.89,1.4,1.67,4,3.08,1.16,1.89,3.19,1.61,2.42,3.12,1.29,2.51,1.83,1.94,2.12,4.43,0.24,1.65,2.83,0.59,1.56
June,,,,1,5.33,2.71,1.88,0.59,1.88,0.39,3.41,0.09,1.68,1.69,2.29,2.3,3.15,3.12,0.68,1.33,1.03,1.53,1.6,4.82,2.01,2.67,0.59,3.61,0.61,2.1
July,,,,2.43,0.85,3.87,2.56,2.33,3.37,2.1,3.65,2.14,1.58,2.45,3.64,1.66,1.62,1.13,1.03,3.19,2.04,0.76,3.9,3.11,1.35,5.47,3.5,1.55,1.14,2.65
August,,,,1.97,3.93,0.54,1.28,1.51,2.64,0.11,4.24,2.46,1.41,2.97,1.98,5.27,0.32,4.63,1.45,3.13,4.06,3.68,1.53,2.56,1.19,2.92,2.97,2.95,1.52,3.71
September,,,,1.85,4.06,2.6,2.11,2.09,1.74,1.43,0.3,2.02,2.05,2.34,2.43,3.56,1.36,2.02,0.47,3.65,2.84,2.86,3.3,2.29,2.11,2.67,2.72,5.73,0.17,2.74
October,,,,2.4,3.97,1.83,3.07,3.26,6.6,3.33,1.09,3.53,3.75,4.28,4.05,1.53,0.31,2,7.74,0.37,1.18,3.37,3.84,2.56,3.89,1.19,1.84,3.27,2.83,7.46
November,,,,3.3,6.86,4.77,2.25,4.47,5.46,8.39,3.6,1.92,1.67,4.91,0.28,5.7,1.13,1.81,3.76,6.82,7.86,3.52,1.57,5.82,1.55,0.9,3.17,1.98,3.26,5.4
December,,,,8.93,4.43,3.84,4.66,4.43,1.94,1.64,2.41,3.65,2.33,2.97,4.13,3.31,3.18,4.74,1.54,2.1,3.15,2.59,0.69,2.4,2.9,4.58,2.25,3.67,5.94,3.81
Total,,,,30.44,40,32.65,38.51,24.88,38.79,29.22,31.52,27.7,27.73,27.68,27.65,35.92,24.73,31.65,26.24,33.78,44.06,28.86,24.77,32.42,26.11,28.07,26.45,34.54,24.72,37.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan 12 Inspection OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 July 11 Inspection Gauge sound Exposure excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 June Oct Figures altered but only 0.01 changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Feb Mar and total changed No note as to why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Total printed in BR is as originally written 25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 10 Inspection Gauge sound Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
