DIDCOT-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU527908,Long,-1.2402936,Lat,51.61357,Elevation,170,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,,,,,2.77,2.9,0.55,2.6,1.06,1.86,1.92,1.72,0.53,3.43,3.91,2.09,3.74,2.57,2.29,,3.82,1.34,1.61,1.24,1.42,5.28,1.01,0.49,2.59,1.73,0.89,1.35,2.37,4.42,1.56,3.13,3.92,3.25,
February,,,,,,,,3.77,1.66,0.75,0.46,1.7,0.03,3.97,0.09,2.07,1.76,3.91,0.65,0.73,1.54,1.78,,0.81,1.09,1.67,1.83,1.33,0.73,1.19,4.18,4.21,0.61,1.3,2.15,1.27,0.34,3.23,2.42,0.12,1.67,
March,,,,,,,,2.15,1.67,0.13,0.62,0.18,1.4,2.29,1.58,0.47,1.75,3.53,0.2,1.29,1.91,2.52,,0.66,0.22,0.86,0.81,3.91,0.78,1.52,0.71,3.39,2.32,0.51,2.09,1.12,0.67,1.23,0.95,2.74,0.87,
April,,,,,,,,1.89,0.85,0.83,1.8,2.66,2.19,0.94,1.68,3.43,1.3,2.5,0.04,2.93,2.04,1.4,,0.55,1.42,1.16,1.52,2.32,1.47,1.5,1.78,2.69,1.25,2.58,0.3,0.37,1.48,0.46,1.01,2.47,0.58,
May,,,,,,,,2.12,0.63,0.48,1.63,2.84,5.01,1.35,0.54,0.96,0.87,2.6,2.1,1.15,1.07,1.64,,2.35,0.48,1.97,3.83,1.58,4.01,1.56,2.34,2.88,3.49,1.84,2.08,4.23,0.26,1.5,1.44,0.54,2.01,
June,,,,,,,,0.86,1.94,0.91,0.29,1.84,0.71,0.44,1.04,4.61,2.48,1.73,0.52,1.02,0.7,2.47,,1.65,1.57,2.3,1.7,1.39,2.28,0.36,1.47,1.24,1.24,2.78,3.59,2.67,2.23,2.2,3.62,2.04,3.32,
July,,,,,,,,2.59,1.65,1.24,2.58,3.94,3.49,1.11,0.7,0.72,3.43,0.9,1.27,3.7,3.59,4.18,,1.36,1.23,2.28,1.14,2.81,0.8,1.19,3.87,1.16,0.5,2.61,2.18,0.24,2.99,3.18,2.98,2.7,3.16,
August,,,,,,,,2.99,1.65,0.75,2.19,4.88,1.21,0.44,1.65,1.7,0.66,0.59,3.1,1.66,0.07,2.85,,1.5,1.68,1.4,3.66,0.61,3.09,1.26,3.04,3.55,3.81,1.64,3.1,0.31,3.13,2.51,4.2,1.95,3.02,
September,,,,,,,,5.47,0.94,0.32,2.94,2.24,2.8,2.2,1.52,3.56,2.82,1.74,1.37,0.59,0.61,0.28,,1.35,1.84,2.25,3.79,1.24,2.31,2.54,3.27,2.98,1.37,2.15,1.53,1.02,2.17,2.97,3.21,0.09,3.19,
October,,,,,,,,1.77,3.48,3.01,0.86,0.57,3.7,1.53,1.53,3.31,1.38,2.84,2.55,4.24,2.1,1.06,,2.37,3.2,2.7,0.91,0.38,2.51,6.91,0.49,0.66,3.61,3.32,1.65,2.03,2.17,1.97,2.47,1.75,5.54,
November,,,,,,,,2.57,1.79,5.17,3.58,2.98,1.22,0.68,1.8,4.12,2.66,1.14,3.29,3.49,6.46,2.89,,1.33,3.96,0.13,4.55,1.07,1.29,2.73,4.46,5.29,3.12,1.56,4.93,1.43,0.71,1.69,2.46,2.35,3.41,
December,,,,,,,,2.34,2.51,5.79,2.48,0.65,0.72,0.42,4.99,2.7,2.19,1.75,2.54,1.12,1.07,1.24,,1.01,1.46,3.74,1.66,1.81,3.56,1.04,1.19,2.31,2.24,0.52,2.45,2.64,3.88,2.17,2.75,4.74,4.34,
Total,,,,,,,,31.29,21.67,19.93,22.03,25.54,24.34,17.29,18.84,28.18,24.73,27.14,19.72,25.66,23.73,24.6,,18.76,19.49,22.07,26.64,19.87,28.11,22.81,27.29,32.95,25.29,21.7,27.4,19.7,24.45,24.67,30.64,25.41,34.36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Didcot Sewage Works. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
