CANNOCK-HEATH-HAYES-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK008095,Long,-1.9896026,Lat,52.683194,Elevation,531,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2339/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.73,2.22,1.02,3.09,3.23,2.89,5.09,3.04,2.7,2.37,4.68,2.72,1.81,2.2,1.74,4.82,1.59,1.28,2.07,2.68,,1.38,,,,,,
February,,,2.86,0.3,2.42,2.37,3.67,0.66,1.14,2.33,2.54,1.63,1.07,1.97,2.22,2.96,2.28,1.07,0.65,5.67,2.49,0.58,,2.09,,,,,,
March,,,2.79,2.36,0.5,1.64,2.59,0.54,1.46,1.73,2.59,1.54,0.86,0.47,0.94,0.86,5.17,1.2,1.64,1.22,4.93,1.93,,1.66,,,,,,
April,,,0.78,1.83,3.22,2.18,2.42,0.14,2.18,3.15,1.71,1.33,1.28,1.74,1.92,1.28,2.04,1.98,2.68,2.42,2.41,1.82,,0.44,,,,,,
May,,,1.25,0.87,0.77,0.89,2.74,1.6,1.56,3.08,2.59,3.28,3.57,0.94,4.11,,3.04,2.02,2.03,1.47,3.24,2.43,,2.57,,,,,,
June,,,2.26,1.12,3.53,4.15,0.91,1.69,1.32,1.19,1,1.06,1.57,1.94,2.72,2.45,2.14,4.49,0.43,1.03,1.31,2.05,,3.09,,,,,,
July,,,2.15,1.34,0.47,5.79,2.54,3.25,5.36,2.9,4.11,2.04,0.99,2.27,1.67,1.74,3.49,2.02,2.05,2.42,0.98,1.29,,4.15,,1.51,,,,
August,,,0.99,2.26,1.88,1.15,0.93,4.36,4.71,0.31,4.39,1.51,2.16,1.77,2.42,6.02,1.73,5.43,1.37,3.49,4.93,2.34,,4.39,,4.91,,,,
September,,,0.62,1.56,3.39,3.05,3.82,2.91,1.33,0.85,0.32,1.33,3.02,3.05,1.46,4.02,1.79,2.78,0.95,3.63,2.06,1.35,,2.4,,1.86,,,,
October,,,4.76,2.03,3.77,2.02,2.38,2.2,3.66,3.28,2.56,2.55,1.61,3.2,3.68,0.87,1.31,2.5,4.11,1.9,0.65,3.69,,3.96,,1.93,,,,
November,,,1.24,2.57,5.31,2.92,1.39,2.94,4.24,6.54,2.93,1.21,2.04,3.51,0.4,5.48,2.27,1.66,3.64,3.93,6.33,2.34,,4.99,,0.9,,,,
December,,,0.38,4.56,3.14,2.09,2.6,3.41,1.88,2.15,1.74,2.94,1,1.49,2.06,2.89,2.29,4.1,2.64,1.94,2.22,3.59,,3.09,,2.35,,,,
Total,,,21.81,23.02,29.42,31.34,29.22,26.59,33.93,30.55,29.18,22.79,23.85,25.07,25.41,,29.29,34.07,23.78,30.4,33.62,26.09,,34.21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s and is near sewage works south of Heath Hayes. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
